,location,earliest,latest,earliestCalendar,latestCalendar
1,1014-NE,38,208,2/7/2023,7/27/2023
2,1014-NW,38,194,2/7/2023,7/13/2023
3,1014-SE,38,208,2/7/2023,7/27/2023
4,1014-SW,38,208,2/7/2023,7/27/2023
5,1015-NE,68,194,3/9/2023,7/13/2023
6,1015-NW,68,158,3/9/2023,6/7/2023
7,1015-SE,68,194,3/9/2023,7/13/2023
8,1015-SW,68,151,3/9/2023,5/31/2023
9,1048-NE,39,209,2/8/2023,7/28/2023
10,1048-NW,39,209,2/8/2023,7/28/2023
11,1048-SE,39,209,2/8/2023,7/28/2023
12,1049-NE,46,195,2/15/2023,7/14/2023
13,1049-NW,46,195,2/15/2023,7/14/2023
14,1049-SE,46,195,2/15/2023,7/14/2023
15,1049-SW,84,194,3/25/2023,7/13/2023
16,1154-NE,5,190,1/5/2023,7/9/2023
17,1154-NW,6,190,1/6/2023,7/9/2023
18,1154-SE,5,173,1/5/2023,6/22/2023
19,1154-SW,5,190,1/5/2023,7/9/2023
20,1156-NE,45,192,2/14/2023,7/11/2023
21,1156-NW,45,192,2/14/2023,7/11/2023
22,1156-SE,45,192,2/14/2023,7/11/2023
23,1156-SW,45,192,2/14/2023,7/11/2023
24,1237-NE,60,311,3/1/2023,11/7/2023
25,1237-NW,60,311,3/1/2023,11/7/2023
26,1237-SE,60,311,3/1/2023,11/7/2023
27,1237-SW,60,311,3/1/2023,11/7/2023
28,1239-NE,60,312,3/1/2023,11/8/2023
29,1239-NW,60,312,3/1/2023,11/8/2023
30,1239-SE,60,312,3/1/2023,11/8/2023
31,1239-SW,60,312,3/1/2023,11/8/2023
32,1249-NE,46,191,2/15/2023,7/10/2023
33,1249-NW,46,191,2/15/2023,7/10/2023
34,1249-SE,46,158,2/15/2023,6/7/2023
35,1249-SW,46,168,2/15/2023,6/17/2023
36,1266-NE,76,219,3/17/2023,8/7/2023
37,1266-NW,76,219,3/17/2023,8/7/2023
38,1266-SE,76,219,3/17/2023,8/7/2023
39,1266-SW,76,219,3/17/2023,8/7/2023
40,1267-NE,60,313,3/1/2023,11/9/2023
41,1267-NW,60,313,3/1/2023,11/9/2023
42,1267-SE,60,313,3/1/2023,11/9/2023
43,1267-SW,60,313,3/1/2023,11/9/2023
44,1268-NE,60,312,3/1/2023,11/8/2023
45,1268-NW,60,312,3/1/2023,11/8/2023
46,1268-SE,60,312,3/1/2023,11/8/2023
47,1268-SW,60,312,3/1/2023,11/8/2023
48,1294-NE,60,312,3/1/2023,11/8/2023
49,1294-NW,60,312,3/1/2023,11/8/2023
50,1294-SE,60,312,3/1/2023,11/8/2023
51,1294-SW,60,312,3/1/2023,11/8/2023
52,1295-NE,60,313,3/1/2023,11/9/2023
53,1295-NW,60,314,3/1/2023,11/10/2023
54,1295-SE,60,313,3/1/2023,11/9/2023
55,1295-SW,60,314,3/1/2023,11/10/2023
56,1296-NE,60,312,3/1/2023,11/8/2023
57,1296-NW,60,312,3/1/2023,11/8/2023
58,1296-SE,60,312,3/1/2023,11/8/2023
59,1296-SW,60,312,3/1/2023,11/8/2023
60,1324-NE,77,218,3/18/2023,8/6/2023
61,1324-NW,77,218,3/18/2023,8/6/2023
62,1324-SE,73,218,3/14/2023,8/6/2023
63,1324-SW,77,218,3/18/2023,8/6/2023
64,1502-NE,83,202,3/24/2023,7/21/2023
65,1502-NW,83,202,3/24/2023,7/21/2023
66,1502-SE,83,194,3/24/2023,7/13/2023
67,1502-SW,83,202,3/24/2023,7/21/2023
68,1503-NE,80,194,3/21/2023,7/13/2023
69,1503-NW,80,205,3/21/2023,7/24/2023
70,1503-SE,80,205,3/21/2023,7/24/2023
71,1503-SW,34,205,2/3/2023,7/24/2023
72,1504-NE,80,176,3/21/2023,6/25/2023
73,1504-NW,80,206,3/21/2023,7/25/2023
74,1504-SE,80,206,3/21/2023,7/25/2023
75,1504-SW,73,206,3/14/2023,7/25/2023
76,1521-NE,83,203,3/24/2023,7/22/2023
77,1521-NW,83,203,3/24/2023,7/22/2023
78,1521-SE,83,194,3/24/2023,7/13/2023
79,1521-SW,83,203,3/24/2023,7/22/2023
80,1522-NE,82,203,3/23/2023,7/22/2023
81,1522-NW,82,203,3/23/2023,7/22/2023
82,1522-SE,82,203,3/23/2023,7/22/2023
83,1522-SW,82,203,3/23/2023,7/22/2023
84,1540-NE,81,204,3/22/2023,7/23/2023
85,1540-NW,81,204,3/22/2023,7/23/2023
86,1540-SE,81,204,3/22/2023,7/23/2023
87,1540-SW,81,204,3/22/2023,7/23/2023
88,1541-NE,81,205,3/22/2023,7/24/2023
89,1541-NW,81,205,3/22/2023,7/24/2023
90,1541-SE,81,205,3/22/2023,7/24/2023
91,1541-SW,81,205,3/22/2023,7/24/2023
92,1557-NE,82,194,3/23/2023,7/13/2023
93,1557-NW,82,189,3/23/2023,7/8/2023
94,1557-SE,82,204,3/23/2023,7/23/2023
95,1557-SW,82,204,3/23/2023,7/23/2023
96,339-NE,60,321,3/1/2023,11/17/2023
97,339-NW,60,321,3/1/2023,11/17/2023
98,339-SE,60,321,3/1/2023,11/17/2023
99,339-SW,60,321,3/1/2023,11/17/2023
100,340-NE,60,322,3/1/2023,11/18/2023
101,340-NW,60,322,3/1/2023,11/18/2023
102,340-SE,60,322,3/1/2023,11/18/2023
103,340-SW,60,322,3/1/2023,11/18/2023
104,341-NE,60,326,3/1/2023,11/22/2023
105,341-NW,60,326,3/1/2023,11/22/2023
106,341-SE,60,326,3/1/2023,11/22/2023
107,341-SW,60,326,3/1/2023,11/22/2023
108,398-NE,60,323,3/1/2023,11/19/2023
109,398-NW,60,323,3/1/2023,11/19/2023
110,398-SE,60,323,3/1/2023,11/19/2023
111,398-SW,60,323,3/1/2023,11/19/2023
112,399-NE,60,324,3/1/2023,11/20/2023
113,399-NW,60,324,3/1/2023,11/20/2023
114,399-SE,60,324,3/1/2023,11/20/2023
115,399-SW,60,324,3/1/2023,11/20/2023
116,457-NE,60,325,3/1/2023,11/21/2023
117,457-NW,60,324,3/1/2023,11/20/2023
118,457-SE,60,325,3/1/2023,11/21/2023
119,457-SW,60,325,3/1/2023,11/21/2023
