organization,project,project_id,location,location_id,recording_date_time,recording_id,task_method,task_id,aru_task_status,species_code,species_common_name,species_scientific_name,species_class,detection_time,task_duration,tag_duration,min_tag_freq,max_tag_freq,tag_id,individual_order,vocalization,abundance,tag_rating,tag_is_verified,clip_channel_used,observer,observer_id,verifier_id,left_full_freq_tag_rms_peak_dbfs,left_full_freq_tag_rms_trough_dbfs,left_full_freq_tag_pk_count,left_full_freq_tag_dc_offset,left_full_freq_tag_min_level,left_full_freq_tag_max_level,left_full_freq_tag_peak_level_dbfs,left_freq_filter_tag_rms_peak_dbfs,left_freq_filter_tag_rms_trough_dbfs,left_freq_filter_tag_pk_count,left_freq_filter_tag_dc_offset,left_freq_filter_tag_min_level,left_freq_filter_tag_max_level,left_freq_filter_tag_peak_level_dbfs,right_full_freq_tag_rms_peak_dbfs,right_full_freq_tag_rms_trough_dbfs,right_full_freq_tag_pk_count,right_full_freq_tag_dc_offset,right_full_freq_tag_min_level,right_full_freq_tag_max_level,right_full_freq_tag_peak_level_dbfs,right_freq_filter_tag_rms_peak_dbfs,right_freq_filter_tag_rms_trough_dbfs,right_freq_filter_tag_pk_count,right_freq_filter_tag_dc_offset,right_freq_filter_tag_min_level,right_freq_filter_tag_max_level,right_freq_filter_tag_peak_level_dbfs,tagged_in_wildtrax,media_url,spectrogram_url,clip_url
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,3.15,60.00,2.19,2.68kHz,3.91kHz,3600131,1,Song,1,,f,2,Leonard Patterson,2692,,-24.75,-28,2,0.040062,-0.077484,0.182556,-14.77,-28.62,-51.2,2,0,-0.101746,0.102081,-19.82,-24.99,-31.79,2,0.025682,-0.17453,0.222534,-13.05,-29.23,-52.4,2,0,-0.108612,0.108063,-19.28,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/d691d688267a4497a38e09fe6a8278e8.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/3e149c91dd8b44579f6fc57e40c167ce.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,7.48,60.00,4.29,2.37kHz,4.12kHz,3626772,2,Song,1,,f,2,Leonard Patterson,2692,,-27.25,-28.15,2,0.040164,-0.019409,0.101044,-19.91,-38.07,-55.38,2,0,-0.037506,0.04007,-27.94,-28.95,-32.22,2,0.025648,-0.086853,0.144043,-16.83,-34.58,-55.94,2,0,-0.057556,0.057861,-24.75,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/94799d5e26bc4e87adce94d1bcb30df8.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/ad8befd5558c4cfb9add62158e3da2fe.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,10.20,60.00,2.44,2.78kHz,4.07kHz,3626776,3,Song,1,,f,1,Leonard Patterson,2692,,-27.35,-28.19,3,0.040069,-0.016785,0.093506,-20.58,-41.89,-57.19,2,0,-0.018372,0.018738,-34.55,-28.96,-32.22,2,0.025634,-0.083893,0.144043,-16.83,-45.9,-57.21,2,0,-0.02002,0.01944,-33.97,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/a070311c5afc4399a28cb678c34a6ab1.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/991a529936b2440f95712c3cb470793a.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,11.56,60.00,3.70,2.78kHz,4.58kHz,3626780,4,Song,1,,f,2,Leonard Patterson,2692,,-27.18,-28.19,2,0.040036,-0.013611,0.098389,-20.14,-40.32,-51.44,2,0,-0.031128,0.031525,-30.03,-28.75,-31.94,2,0.025632,-0.088379,0.138794,-17.15,-37.96,-52.41,2,0,-0.046844,0.045593,-26.59,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/f76a2840ac2a48e496840fe935707c79.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/3d1dddb31ed045c78a6d0ca443d722f1.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,19.64,60.00,2.54,3.35kHz,4.33kHz,3600135,2,Song,1,,f,2,Leonard Patterson,2692,,-25.9,-28.11,2,0.040004,-0.062592,0.142426,-16.93,-42.99,-55.19,2,0,-0.030762,0.031128,-30.14,-28.17,-31.91,2,0.025758,-0.07666,0.133942,-17.46,-42.57,-56.25,2,0,-0.027985,0.028107,-31.02,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/d59916e43a38434cb1db5be5d06f235d.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/86e4cd01336b4164bf36844be29ebaf9.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,19.64,60.00,2.18,2.42kHz,3.45kHz,3600134,1,Song,1,,f,2,Leonard Patterson,2692,,-25.69,-28.04,2,0.040015,-0.062592,0.142426,-16.93,-31.96,-62.84,2,0,-0.0784,0.0784,-22.11,-26.27,-31.78,2,0.025738,-0.123932,0.190063,-14.42,-28.9,-62.6,2,-0.000001,-0.110443,0.111084,-19.09,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/c996f6db96d74d96a6a7693fd6f40782.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/7a2cb2263f654e66a3fb8b7f95fad30d.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,29.71,60.00,2.88,2.52kHz,4.22kHz,3600136,2,Song,1,,f,2,Leonard Patterson,2692,,-24.97,-28.02,2,0.039965,-0.082001,0.174072,-15.19,-31.09,-54.33,2,0,-0.091187,0.089355,-20.8,-26.27,-31.83,2,0.025742,-0.113373,0.167206,-15.53,-29.59,-57.02,2,0,-0.114624,0.115417,-18.75,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/7fe71c2a4cf9436194cd92575f13f69a.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/69050a39fba94e3698448e3280bccf5e.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,32.69,60.00,2.53,2.63kHz,3.71kHz,3600137,1,Song,1,,f,1,Leonard Patterson,2692,,-26.37,-28.06,2,0.040005,-0.059052,0.139313,-17.12,-34.21,-60.12,2,0,-0.078979,0.0784,-22.05,-28.5,-31.92,2,0.025659,-0.109375,0.157654,-16.05,-34.03,-59.38,2,0,-0.126556,0.126923,-17.93,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/f4aa8724d301474296b76e940918c6e4.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/d792f821c0db43d493484cd34e377889.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,48.09,60.00,3.84,2.52kHz,3.66kHz,3600138,1,Song,1,,f,2,Leonard Patterson,2692,,-26.71,-28.15,2,0.039955,-0.047272,0.121643,-18.3,-44.68,-56.08,2,0,-0.019012,0.019196,-34.34,-29.05,-31.86,2,0.025668,-0.06134,0.112335,-18.99,-43.19,-56.43,2,0,-0.021088,0.020844,-33.52,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/c87473f7669d427e8e1c6068265ea9ff.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/be242402090f4066aa0a034353f36c6b.flac
ABMI,Influence of wildfire smoke on avian singing rates,2203,1014-NE,483446,2023-05-21 05:55:00,893131,None,865636,Transcribed,WTSP,White-throated Sparrow,ZONOTRICHIA ALBICOLLIS,Aves,48.25,60.00,3.64,2.52kHz,4.17kHz,3600139,2,Song,1,,f,2,Leonard Patterson,2692,,-27.11,-28.15,2,0.03995,-0.047272,0.121643,-18.3,-44.67,-54.93,2,0,-0.017517,0.017517,-35.13,-29.66,-31.86,2,0.02567,-0.06134,0.112335,-18.99,-43.48,-54.66,2,0,-0.021301,0.020416,-33.43,t,https://portal.wildtrax.ca/home/aru-tasks/recording.html?taskId=865636,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/b025feec5f50448c895738709a2d16f3.jpg,https://wildtrax-aru.s3.us-west-2.amazonaws.com/36556667-6d40-4657-9d0e-ec089c4853ba/a731ed405f1f42dd9540f71f490ce895.flac
