ABMI Site Number,ABMI Public Latitude,ABMI Public Longitude,File No. ABMI-00003; Version January 2008,,
1,59.943127,-110.282402,Refer to File No. ABMI-00001 for a text description of this file,,
2,60.008781,-112.146973,,,
3,59.942680,-111.849083,,,
4,59.919476,-111.434280,,,
5,59.901665,-111.137520,,,
6,59.842426,-110.768616,,,
7,59.820942,-110.375534,,,
8,59.741611,-110.100601,,,
9,59.955215,-113.968842,,,
10,59.942070,-113.609451,,,
11,59.913239,-113.317047,,,
12,59.862999,-112.947403,,,
13,59.869965,-112.579437,,,
14,59.796967,-112.230896,,,
15,59.783936,-111.907753,,,
16,59.737675,-111.459206,,,
17,59.700066,-111.143211,,,
18,59.662022,-110.840218,,,
19,59.607685,-110.419456,,,
20,59.614670,-110.124588,,,
21,59.987904,-116.416641,,,
22,59.951607,-116.186333,,,
23,59.946854,-115.747154,,,
24,59.927780,-115.457977,,,
25,59.901295,-115.125664,,,
26,59.858818,-114.767944,,,
27,59.844925,-114.422569,,,
28,59.805271,-114.023239,,,
29,59.737953,-113.655914,,,
30,59.708855,-113.397850,,,
31,59.701660,-113.055641,,,
32,59.677498,-112.604416,,,
33,59.646675,-112.275978,,,
34,59.565720,-111.939857,,,
35,59.557568,-111.631203,,,
36,59.510143,-111.286217,,,
37,59.482281,-110.956512,,,
38,59.464947,-110.522453,,,
39,59.395153,-110.222572,,,
40,59.992634,-119.732986,,,
41,59.946846,-119.345093,,,
42,59.977444,-118.978882,,,
43,59.931599,-118.594048,,,
44,59.938522,-118.267204,,,
45,59.884632,-118.000008,,,
46,59.903374,-117.587471,,,
47,59.861057,-117.210022,,,
48,59.817764,-116.900818,,,
49,59.812458,-116.551575,,,
50,59.777142,-116.235710,,,
51,59.785976,-115.844200,,,
52,59.725948,-115.522881,,,
53,59.695187,-115.157310,,,
54,59.678719,-114.780563,,,
55,59.670280,-114.419548,,,
56,59.642456,-114.057098,,,
57,59.618908,-113.735153,,,
58,59.529308,-113.403107,,,
59,59.503201,-113.102928,,,
60,59.475338,-112.731911,,,
61,59.441296,-112.396309,,,
62,59.435986,-112.086403,,,
63,59.416378,-111.659508,,,
64,59.319580,-111.284081,,,
65,59.318275,-110.953598,,,
66,59.291420,-110.636040,,,
67,59.227852,-110.360909,,,
68,59.813072,-119.770706,,,
69,59.810764,-119.458748,,,
70,59.781540,-119.125992,,,
71,59.789661,-118.666779,,,
72,59.734673,-118.415428,,,
73,59.718616,-117.958755,,,
74,59.672287,-117.637390,,,
75,59.665314,-117.295952,,,
76,59.671089,-116.937790,,,
77,59.600746,-116.580849,,,
78,59.603184,-116.238892,,,
79,59.615616,-115.915886,,,
80,59.549862,-115.596893,,,
81,59.507553,-115.147682,,,
82,59.492878,-114.793625,,,
83,59.460358,-114.442337,,,
84,59.458614,-114.166542,,,
85,59.414177,-113.843071,,,
86,59.401676,-113.426910,,,
87,59.381336,-113.099640,,,
88,59.313015,-112.857330,,,
89,59.306034,-112.397568,,,
90,59.268108,-112.090126,,,
91,59.212379,-111.772346,,,
92,59.187820,-111.372108,,,
93,59.160793,-111.064606,,,
94,59.114807,-110.680214,,,
95,59.065983,-110.411041,,,
96,59.053726,-110.027939,,,
97,59.663017,-119.780594,,,
98,59.598625,-119.478241,,,
99,59.593914,-119.108841,,,
100,59.563286,-118.761261,,,
101,59.582375,-118.410957,,,
102,59.549892,-118.022049,,,
103,59.549137,-117.706863,,,
104,59.483601,-117.280518,,,
105,59.450874,-117.006454,,,
106,59.476604,-116.686760,,,
107,59.433254,-116.345566,,,
108,59.388031,-115.898651,,,
109,59.371502,-115.677238,,,
110,59.365456,-115.241112,,,
111,59.304123,-114.945435,,,
112,59.279404,-114.582375,,,
113,59.245296,-114.184410,,,
114,59.241486,-113.860207,,,
115,59.224457,-113.473930,,,
116,59.183533,-113.233971,,,
117,59.148365,-112.794853,,,
118,59.094315,-112.462219,,,
119,59.064190,-112.123734,,,
120,59.063084,-111.784248,,,
121,59.016956,-111.443527,,,
122,58.935230,-111.107582,,,
123,58.941849,-110.816315,,,
124,58.892406,-110.409058,,,
125,58.865517,-110.195000,,,
126,59.429874,-119.803429,,,
127,59.445538,-119.460838,,,
128,59.447678,-119.101288,,,
129,59.431057,-118.767242,,,
130,59.372177,-118.382347,,,
131,59.344997,-118.036362,,,
132,59.368443,-117.710686,,,
133,59.348869,-117.385674,,,
134,59.327000,-117.027519,,,
135,59.292957,-116.654610,,,
136,59.248165,-116.391609,,,
137,59.235500,-116.033951,,,
138,59.166348,-115.630699,,,
139,59.182209,-115.300041,,,
140,59.132816,-114.939079,,,
141,59.106171,-114.621773,,,
142,59.080051,-114.247124,,,
143,59.073212,-113.970581,,,
144,59.019142,-113.563141,,,
145,58.989044,-113.234497,,,
146,58.945728,-112.831657,,,
147,58.926662,-112.604309,,,
148,58.867863,-112.243294,,,
149,58.861977,-111.826012,,,
150,58.822025,-111.529236,,,
151,58.768562,-111.240944,,,
152,58.781075,-110.862381,,,
153,58.732189,-110.518013,,,
154,58.704395,-110.185188,,,
155,59.257164,-119.856628,,,
156,59.258030,-119.550362,,,
157,59.255928,-119.221596,,,
158,59.225224,-118.862061,,,
159,59.227409,-118.438774,,,
160,59.170574,-118.207489,,,
161,59.192177,-117.813477,,,
162,59.156700,-117.473236,,,
163,59.105827,-117.153389,,,
164,59.125423,-116.707664,,,
165,59.085716,-116.429916,,,
166,59.067535,-116.048676,,,
167,59.049294,-115.684799,,,
168,58.998829,-115.386452,,,
169,58.942066,-114.996033,,,
170,58.913528,-114.697044,,,
171,58.933090,-114.346619,,,
172,58.868519,-114.012985,,,
173,58.882027,-113.626266,,,
174,58.829926,-113.349533,,,
175,58.776077,-113.004959,,,
176,58.749851,-112.632881,,,
177,58.711525,-112.310265,,,
178,58.662365,-111.971893,,,
179,58.667915,-111.615341,,,
180,58.592373,-111.314796,,,
181,58.554272,-110.968216,,,
182,58.561100,-110.643715,,,
183,58.498306,-110.255699,,,
184,59.107876,-119.901970,,,
185,59.084869,-119.578171,,,
186,59.083550,-119.146049,,,
187,59.021698,-118.882507,,,
188,59.057106,-118.481262,,,
189,59.016953,-118.211037,,,
190,58.980862,-117.833282,,,
191,58.945358,-117.481285,,,
192,58.978397,-117.153389,,,
193,58.901939,-116.752960,,,
194,58.878773,-116.427071,,,
195,58.869080,-116.106911,,,
196,58.860840,-115.743073,,,
197,58.800537,-115.435524,,,
198,58.788940,-115.122055,,,
199,58.790100,-114.773918,,,
200,58.721741,-114.337120,,,
201,58.738762,-114.016357,,,
202,58.694389,-113.777603,,,
203,58.654724,-113.360550,,,
204,58.580917,-113.002159,,,
205,58.610741,-112.680443,,,
206,58.509407,-112.361191,,,
207,58.477882,-112.052505,,,
208,58.485924,-111.694931,,,
209,58.441406,-111.346474,,,
210,58.363522,-110.995140,,,
211,58.377476,-110.641006,,,
212,58.304600,-110.380775,,,
213,58.287540,-110.057426,,,
214,58.895065,-119.918449,,,
215,58.934975,-119.620171,,,
216,58.868587,-119.264351,,,
217,58.858131,-118.825790,,,
218,58.864971,-118.602684,,,
219,58.817989,-118.196014,,,
220,58.805458,-117.890381,,,
221,58.754406,-117.539810,,,
222,58.740612,-117.138252,,,
223,58.712914,-116.843819,,,
224,58.732552,-116.544121,,,
225,58.699387,-116.201263,,,
226,58.645638,-115.816162,,,
227,58.644566,-115.501228,,,
228,58.636993,-115.056686,,,
229,58.600529,-114.789719,,,
230,58.563248,-114.427574,,,
231,58.539162,-114.157448,,,
232,58.473232,-113.745575,,,
233,58.433887,-113.473282,,,
234,58.418022,-113.046516,,,
235,58.367569,-112.757271,,,
236,58.374332,-112.436066,,,
237,58.346821,-112.116707,,,
238,58.276688,-111.740158,,,
239,58.281979,-111.373962,,,
240,58.251968,-111.048103,,,
241,58.161541,-110.711548,,,
242,58.153950,-110.411049,,,
243,58.142788,-110.090385,,,
244,58.763195,-119.985069,,,
245,58.743931,-119.569107,,,
246,58.692867,-119.191330,,,
247,58.717480,-118.933899,,,
248,58.639572,-118.591812,,,
249,58.670002,-118.279434,,,
250,58.663471,-117.926727,,,
251,58.629795,-117.546501,,,
252,58.615292,-117.165581,,,
253,58.539280,-116.870667,,,
254,58.548672,-116.557930,,,
255,58.544712,-116.205025,,,
256,58.471012,-115.886955,,,
257,58.448845,-115.548409,,,
258,58.438293,-115.158234,,,
259,58.422798,-114.844818,,,
260,58.391109,-114.420227,,,
261,58.375652,-114.116852,,,
262,58.348625,-113.829971,,,
263,58.288086,-113.508781,,,
264,58.253811,-113.129601,,,
265,58.207672,-112.842941,,,
266,58.205688,-112.512741,,,
267,58.177471,-112.180862,,,
268,58.141891,-111.783432,,,
269,58.078594,-111.466560,,,
270,58.021748,-111.160591,,,
271,58.014492,-110.813072,,,
272,57.993595,-110.466278,,,
273,57.918251,-110.164040,,,
274,58.575008,-119.917305,,,
275,58.572830,-119.637939,,,
276,58.544350,-119.289284,,,
277,58.522884,-118.900536,,,
278,58.492947,-118.629051,,,
279,58.451195,-118.308250,,,
280,58.486931,-117.974716,,,
281,58.424129,-117.608231,,,
282,58.382511,-117.252838,,,
283,58.372742,-116.993530,,,
284,58.384224,-116.641312,,,
285,58.306347,-116.238853,,,
286,58.288662,-115.932106,,,
287,58.311996,-115.564857,,,
288,58.267586,-115.205383,,,
289,58.206009,-114.904839,,,
290,58.226173,-114.499359,,,
291,58.184917,-114.234863,,,
292,58.147423,-113.858948,,,
293,58.125996,-113.567711,,,
294,58.088268,-113.233276,,,
295,58.055161,-112.838333,,,
296,57.981270,-112.561646,,,
297,57.949032,-112.234360,,,
298,57.974468,-111.857712,,,
299,57.914551,-111.574265,,,
300,57.907963,-111.262276,,,
301,57.819054,-110.839073,,,
302,57.803822,-110.653053,,,
303,57.760666,-110.229668,,,
304,58.373638,-119.652313,,,
305,58.324383,-119.263962,,,
306,58.347618,-118.988899,,,
307,58.313648,-118.707001,,,
308,58.305420,-118.330681,,,
309,58.256912,-117.969650,,,
310,58.237606,-117.635895,,,
311,58.204601,-117.318489,,,
312,58.180611,-116.965179,,,
313,58.182053,-116.664886,,,
314,58.188782,-116.312378,,,
315,58.116947,-115.983871,,,
316,58.078323,-115.619331,,,
317,58.089836,-115.236893,,,
318,58.072975,-114.909676,,,
319,58.031906,-114.650970,,,
320,58.015667,-114.325722,,,
321,57.989101,-113.926941,,,
322,57.923573,-113.578415,,,
323,57.931255,-113.273994,,,
324,57.876133,-113.004417,,,
325,57.861206,-112.580597,,,
326,57.810936,-112.311165,,,
327,57.788807,-111.969208,,,
328,57.726879,-111.551453,,,
329,57.668869,-111.269035,,,
330,57.668617,-110.962219,,,
331,57.633213,-110.613266,,,
332,57.578438,-110.360809,,,
333,58.194698,-119.642097,,,
334,58.167786,-119.405983,,,
335,58.162445,-119.006020,,,
336,58.166138,-118.667053,,,
337,58.119251,-118.357445,,,
338,58.127724,-118.068069,,,
339,58.051292,-117.632301,,,
340,58.072590,-117.382751,,,
341,58.048386,-117.050331,,,
342,57.981148,-116.692703,,,
343,57.975288,-116.288887,,,
344,57.958118,-115.978279,,,
345,57.963055,-115.693504,,,
346,57.929840,-115.381592,,,
347,57.864460,-114.985161,,,
348,57.822563,-114.615318,,,
349,57.859009,-114.348358,,,
350,57.797657,-113.952904,,,
351,57.773716,-113.741859,,,
352,57.713856,-113.323944,,,
353,57.682640,-112.992203,,,
354,57.685524,-112.631378,,,
355,57.605453,-112.314194,,,
356,57.571739,-112.023201,,,
357,57.548332,-111.660538,,,
358,57.497894,-111.375656,,,
359,57.454884,-111.054222,,,
360,57.468082,-110.709099,,,
361,57.375259,-110.357719,,,
362,57.377434,-110.073280,,,
363,58.026234,-119.679031,,,
364,58.009384,-119.396095,,,
365,57.980362,-119.028923,,,
366,57.966251,-118.669571,,,
367,57.931427,-118.401215,,,
368,57.900890,-118.010361,,,
369,57.898590,-117.639656,,,
370,57.880253,-117.366646,,,
371,57.870667,-116.995483,,,
372,57.841442,-116.705276,,,
373,57.833443,-116.360657,,,
374,57.790741,-116.011223,,,
375,57.736629,-115.726326,,,
376,57.746975,-115.406548,,,
377,57.717964,-115.019257,,,
