Community AQHI requested for the time period from May 14 2023 15:00 to May 25 2023 16:00,,,,,,,,,,,
Date,Cadotte Lake,Caroline,Chipman,Drayton Valley,Elk Island,Genesee,Grimshaw,Lamont,Red Deer,St. Albert,Steeper
May 14 2023 15:00 MST,N/A,3,N/A,4,4,4,4,4,3,4,4
May 14 2023 16:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 17:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 18:00 MST,N/A,3,N/A,4,4,4,5,4,3,4,4
May 14 2023 19:00 MST,N/A,3,N/A,4,4,4,6,4,3,4,4
May 14 2023 20:00 MST,N/A,3,N/A,4,4,4,7,4,3,4,4
May 14 2023 21:00 MST,N/A,3,N/A,4,4,4,8,4,3,4,4
May 14 2023 22:00 MST,N/A,3,N/A,4,4,4,9,4,10+,4,4
May 14 2023 23:00 MST,N/A,3,N/A,4,4,3,8,4,10+,4,4
May 15 2023 00:00 MST,N/A,3,N/A,4,3,3,8,4,3,4,4
May 15 2023 01:00 MST,N/A,3,N/A,4,3,3,8,3,3,4,3
May 15 2023 02:00 MST,N/A,3,N/A,3,3,3,8,3,3,3,3
May 15 2023 03:00 MST,N/A,3,N/A,3,3,3,N/A,3,2,3,3
May 15 2023 04:00 MST,N/A,2,N/A,3,3,3,N/A,2,2,3,3
May 15 2023 05:00 MST,N/A,2,N/A,3,3,3,N/A,2,2,3,3
May 15 2023 06:00 MST,N/A,2,N/A,3,3,2,10+,2,2,3,3
May 15 2023 07:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 08:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 09:00 MST,N/A,2,N/A,2,2,2,10+,2,2,3,3
May 15 2023 10:00 MST,N/A,2,N/A,2,3,2,10+,2,2,3,3
May 15 2023 11:00 MST,N/A,2,N/A,3,3,2,10+,3,2,3,3
May 15 2023 12:00 MST,N/A,2,N/A,3,3,3,10+,3,3,3,4
May 15 2023 13:00 MST,N/A,3,N/A,3,3,3,10+,3,3,3,4
May 15 2023 14:00 MST,N/A,3,N/A,3,3,3,9,3,3,3,5
May 15 2023 15:00 MST,N/A,3,N/A,3,3,3,8,3,3,3,5
May 15 2023 16:00 MST,N/A,3,N/A,4,3,3,8,3,4,3,6
May 15 2023 17:00 MST,N/A,3,N/A,4,4,4,9,4,4,4,7
May 15 2023 18:00 MST,N/A,3,N/A,4,4,4,10,4,7,4,7
May 15 2023 19:00 MST,N/A,3,N/A,4,4,4,10+,4,7,4,7
May 15 2023 20:00 MST,N/A,3,N/A,4,4,4,10+,4,7,4,6
May 15 2023 21:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 15 2023 22:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 15 2023 23:00 MST,N/A,3,N/A,4,3,4,10+,3,8,4,6
May 16 2023 00:00 MST,N/A,3,N/A,3,3,4,10+,3,8,4,5
May 16 2023 01:00 MST,N/A,3,N/A,4,3,3,10+,3,5,3,5
May 16 2023 02:00 MST,N/A,3,N/A,7,3,3,10+,2,4,4,4
May 16 2023 03:00 MST,N/A,3,N/A,7,3,3,7,2,3,4,4
May 16 2023 04:00 MST,N/A,3,N/A,8,3,3,3,2,3,3,4
May 16 2023 05:00 MST,N/A,4,N/A,9,3,4,3,2,2,3,7
May 16 2023 06:00 MST,N/A,7,N/A,10+,2,8,3,2,2,8,8
May 16 2023 07:00 MST,N/A,10+,N/A,10+,3,8,3,7,2,7,9
May 16 2023 08:00 MST,N/A,10+,N/A,10+,7,9,8,4,7,7,9
May 16 2023 09:00 MST,N/A,10+,N/A,10+,5,9,7,5,9,5,8
