organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,OG-2-7-E,50399,,54.668019,-110.985627,,Visible,
BU,UP-2-14-CC,51262,,55.125650,-111.546323,,Visible,
BU,UP-2-14-OG,51263,,55.122781,-111.542756,,Visible,
BU,UP-2-14-UP,51264,,55.120979,-111.539721,,Visible,
BU,UP-2-34-CC,51277,,55.077290,-111.584007,,Visible,
BU,UP-2-34-OG,51278,,55.064164,-111.583268,,Visible,
BU,UP-2-34-UP,51279,,55.073611,-111.584674,,Visible,
BU,UP-2-97-CC,51286,,55.035980,-111.635698,,Visible,
BU,UP-2-97-UP,51287,,55.040026,-111.643978,,Visible,
BU,UP-2-99-CC,51288,,55.118326,-111.556101,,Visible,
BU,UP-2-99-OG,51289,,55.116493,-111.565827,,Visible,
BU,UP-2-99-UP,51290,,55.118176,-111.563327,,Visible,
BU,UP-2-100-CC,51291,,55.119068,-111.532937,,Visible,
BU,UP-2-100-OG,51292,,55.116821,-111.537031,,Visible,
BU,UP-2-100-UP,51293,,55.117879,-111.539710,,Visible,
BU,UP-8-44-CC,51345,,55.264638,-113.593674,,Visible,
BU,UP-8-44-OG,51346,,55.266046,-113.592176,,Visible,
BU,UP-8-44-UP,51347,,55.264990,-113.588990,,Visible,
BU,UP-8-45-CC,51348,,55.255752,-113.588830,,Visible,
BU,UP-8-45-OG,51349,,55.255071,-113.592106,,Visible,
BU,UP-8-45-UP,51350,,55.254886,-113.587262,,Visible,
BU,UP-8-47-CC,51351,,55.244260,-113.566039,,Visible,
BU,UP-8-47-OG,51352,,55.243562,-113.570604,,Visible,
BU,UP-8-47-UP,51353,,55.245653,-113.570739,,Visible,
BU,UP-8-48-CC,51354,,55.240565,-113.582682,,Visible,
BU,UP-8-48-OG,51355,,55.246914,-113.576595,,Visible,
BU,UP-8-48-UP,51356,,55.237973,-113.581538,,Visible,
BU,UP-8-49-CC,51357,,55.243254,-113.586412,,Visible,
BU,UP-8-49-OG,51358,,55.244400,-113.579878,,Visible,
BU,UP-8-49-UP,51359,,55.245890,-113.585482,,Visible,
BU,UP-8-51-CC,51363,,55.195913,-113.388796,,Visible,
BU,UP-8-51-OG,51364,,55.194816,-113.392502,,Visible,
BU,UP-8-51-UP,51365,,55.193857,-113.387746,,Visible,
BU,UP-8-53-CC,51368,,55.189828,-113.396555,,Visible,
BU,UP-8-53-OG,51369,,55.189986,-113.392652,,Visible,
BU,UP-8-53-UP,51370,,55.191753,-113.394675,,Visible,
BU,UP-8-54-CC,51371,,55.272412,-113.617751,,Visible,
BU,UP-8-54-OG,51372,,55.273800,-113.615937,,Visible,
BU,UP-8-54-UP,51373,,55.275102,-113.617661,,Visible,
BU,UP-8-80-CC,51377,,55.157441,-113.365286,,Visible,
BU,UP-8-80-OG,51378,,55.160113,-113.372556,,Visible,
BU,UP-8-80-UP,51379,,55.158039,-113.377520,,Visible,
BU,UP-9-55-CC,51386,,55.351598,-113.397549,,Visible,
BU,UP-9-55-UP,51388,,55.348266,-113.395565,,Visible,
BU,UP-9-56-CC,51389,,55.349354,-113.413819,,Visible,
BU,UP-9-56-OG,51390,,55.351583,-113.412441,,Visible,
BU,UP-9-56-UP,51391,,55.353606,-113.417407,,Visible,
BU,UP-9-57-CC,51392,,55.337480,-113.402405,,Visible,
BU,UP-9-57-OG,51393,,55.334391,-113.396305,,Visible,
BU,UP-9-57-UP,51394,,55.337685,-113.398349,,Visible,
BU,UP-9-59-CC,51398,,55.368181,-113.342920,,Visible,
BU,UP-9-59-UP,51400,,55.366961,-113.348418,,Visible,
BU,UP-9-65-CC,51401,,55.350749,-113.304787,,Visible,
BU,UP-9-65-OG,51402,,55.349791,-113.315063,,Visible,
BU,UP-9-65-UP,51403,,55.354077,-113.313705,,Visible,
BU,UP-9-73-CC,51404,,55.343405,-113.405540,,Visible,
BU,UP-9-73-OG,51405,,55.339724,-113.403456,,Visible,
BU,UP-9-73-UP,51406,,55.341766,-113.409320,,Visible,
BU,UP-9-76-CC,51410,,55.367438,-113.310665,,Visible,
BU,UP-9-76-OG,51411,,55.372931,-113.313463,,Visible,
BU,UP-9-76-UP,51412,,55.370086,-113.311782,,Visible,
BU,UP-9-77-CC,51413,,55.369219,-113.297685,,Visible,
BU,UP-9-77-UP,51415,,55.372500,-113.300101,,Visible,
BU,UP-10-67-CC,51419,,55.474804,-113.053568,,Visible,
BU,UP-10-67-OG,51420,,55.472133,-113.051577,,Visible,
BU,UP-10-67-UP,51421,,55.471842,-113.055518,,Visible,
BU,UP-10-68-CC,51422,,55.464654,-113.041397,,Visible,
BU,UP-10-68-OG,51423,,55.460808,-113.041878,,Visible,
BU,UP-10-68-UP,51424,,55.462571,-113.041795,,Visible,
BU,UP-10-69-CC,51425,,55.420061,-113.021129,,Visible,
BU,UP-10-69-OG,51426,,55.425152,-113.023080,,Visible,
BU,UP-10-69-UP,51427,,55.417389,-113.025100,,Visible,
BU,UP-10-70-CC,51428,,55.452862,-113.014313,,Visible,
BU,UP-10-70-OG,51429,,55.452437,-113.023164,,Visible,
BU,UP-10-71-CC,51431,,55.455724,-113.024961,,Visible,
BU,UP-10-71-OG,51432,,55.453717,-113.025681,,Visible,
BU,UP-10-71-UP,51433,,55.454485,-113.030307,,Visible,
BU,UP-10-72-CC,51434,,55.452311,-113.034575,,Visible,
BU,UP-10-72-OG,51435,,55.453690,-113.040277,,Visible,
BU,UP-10-72-UP,51436,,55.453480,-113.045311,,Visible,
BU,UP-15-90-CC,51446,,55.479402,-113.463423,,Visible,
BU,UP-15-90-OG,51447,,55.483692,-113.464641,,Visible,
BU,UP-15-90-UP,51448,,55.483714,-113.458152,,Visible,
BU,UP-20-106-CC,51455,,55.907359,-114.236862,,Visible,
BU,UP-20-106-OG,51456,,55.903976,-114.237919,,Visible,
BU,UP-20-106-UP,51457,,55.905789,-114.231789,,Visible,
BU,UP-1-1-OG,54524,,54.866796,-111.497133,,Visible,
BU,UP-2-17-CC,54550,,55.079193,-111.593699,,Visible,
BU,UP-2-17-OG,54551,,55.079541,-111.597902,,Visible,
BU,UP-2-17-UP,54552,,55.078589,-111.590385,,Visible,
BU,BAM-22-191,238287,,54.606069,-110.211918,,Visible,
BU,BAM-22-98,308291,,55.605355,-114.994112,,Visible,
BU,BAM-22-95,308292,,55.608804,-114.982843,,Visible,
BU,BAM-22-99,308293,,57.347489,-118.485870,,Visible,
BU,BAM-22-96,308295,,55.611356,-114.985030,,Visible,
BU,BAM-22-92,308298,,55.141700,-113.186487,,Visible,
BU,BAM-22-90,308299,,55.146738,-113.201484,,Visible,
BU,BAM-22-91N,308300,,55.135167,-113.214783,,Visible,
BU,BAM-22-87,308302,,55.518284,-114.789209,,Visible,
BU,BAM-22-86,308303,,55.281403,-113.460878,,Visible,
BU,BAM-22-85,308304,,55.282850,-113.457875,,Visible,
BU,BAM-22-83,308307,,55.271702,-113.521944,,Visible,
BU,BAM-22-78,308309,,55.266527,-113.557332,,Visible,
BU,BAM-22-81,308310,,55.269957,-113.524464,,Visible,
BU,BAM-22-77,308311,,55.216510,-113.431682,,Visible,
BU,BAM-22-76,308312,,55.538514,-115.799249,,Visible,
BU,BAM-22-70,308316,,55.264740,-113.503890,,Visible,
BU,BAM-22-60,308320,,55.105544,-113.066470,,Visible,
BU,BAM-22-53N,308322,,55.107928,-113.054286,,Visible,
BU,BAM-22-46N,308323,,55.711460,-114.279655,,Visible,
BU,BAM-22-4-277N,308324,,55.539347,-114.008154,,Visible,
BU,BAM-22-50,308325,,55.545063,-115.802355,,Visible,
BU,BAM-22-39,308329,,55.254520,-113.510600,,Visible,
BU,BAM-22-33N,308334,,56.104407,-114.154574,,Visible,
BU,BAM-22-282,308336,,58.668750,-117.399370,,Visible,
BU,BAM-22-279,308338,,55.514117,-114.014628,,Visible,
BU,BAM-22-278,308339,,55.514319,-113.996795,,Visible,
BU,BAM-22-281,308340,,58.663393,-117.439835,,Visible,
BU,BAM-22-265,308343,,55.647509,-113.418583,,Visible,
BU,BAM-22-260,308348,,55.421581,-113.375353,,Visible,
BU,BAM-22-232,308351,,55.623188,-113.422506,,Visible,
BU,BAM-22-236,308352,,55.284506,-113.459496,,Visible,
BU,BAM-22-229,308353,,55.450217,-113.375843,,Visible,
BU,BAM-22-240,308354,,55.749856,-114.175552,,Visible,
BU,BAM-22-220,308359,,54.584395,-110.383165,,Visible,
BU,BAM-22-226,308360,,55.614555,-113.414666,,Visible,
BU,BAM-22-214N,308362,,55.645835,-113.407105,,Visible,
BU,BAM-22-215N,308363,,55.820782,-114.283145,,Visible,
BU,BAM-22-217,308365,,55.266751,-113.561583,,Visible,
BU,BAM-22-202,308368,,56.063768,-113.733163,,Visible,
BU,BAM-22-206,308369,,54.745877,-113.667542,,Visible,
BU,BAM-22-207,308370,,55.608711,-114.535090,,Visible,
BU,BAM-22-185,308373,,55.653328,-113.389050,,Visible,
BU,BAM-22-189N,308375,,55.910352,-113.527124,,Visible,
BU,BAM-22-182,308376,,54.623247,-110.230563,,Visible,
BU,BAM-22-181,308377,,54.627523,-110.222243,,Visible,
BU,BAM-22-167,308382,,55.980638,-113.761059,,Visible,
BU,BAM-22-160,308386,,54.578007,-110.332049,,Visible,
BU,BAM-22-155,308387,,54.586522,-110.344175,,Visible,
BU,BAM-22-154N,308388,,55.560572,-112.329747,,Visible,
BU,BAM-22-143,308391,,55.271788,-113.557032,,Visible,
BU,BAM-22-147,308393,,55.256332,-113.501808,,Visible,
BU,BAM-22-138,308395,,56.058778,-114.091281,,Visible,
BU,BAM-22-137,308397,,55.256734,-113.525773,,Visible,
BU,BAM-22-133,308398,,55.358242,-114.593345,,Visible,
BU,BAM-22-134,308399,,56.070136,-114.083849,,Visible,
BU,BAM-22-130N,308400,,55.560057,-112.332018,,Visible,
BU,BAM-22-13,308403,,54.663687,-111.007010,,Visible,
BU,BAM-22-126,308405,,56.037819,-113.735027,,Visible,
BU,BAM-22-120,308407,,56.041097,-113.733619,,Visible,
BU,BAM-22-12,308408,,54.658430,-111.006644,,Visible,
BU,BAM-22-121,308410,,56.045630,-113.726344,,Visible,
BU,BAM-22-11,308411,,54.660737,-110.998453,,Visible,
BU,BAM-22-101,308416,,57.353140,-118.474060,,Visible,
BU,BAM-22-100,308417,,57.342840,-118.466890,,Visible,
BU,BAM-22-47N,308764,,56.101760,-114.137295,,Visible,
BU,BAM-22-139N,308780,,55.553051,-112.303329,,Visible,
BU,BAM-22-108A,485229,,55.537660,-114.788120,,Visible,
BU,BAM-22-225A,485230,,56.070560,-114.096000,,Visible,
BU,BAM-22-257A,485231,,55.601430,-113.427500,,Visible,
BU,BAM-22-272A,485232,,55.600370,-113.419600,,Visible,
BU,BTNW-1267-NE,485246,,52.647402,-115.470586,,Visible,
BU,BTNW-1295-SW,485247,,52.458455,-115.479503,,Visible,
BU,BTNW-1325-SE,485248,,52.257949,-115.246400,,Visible,
BU,BTNW-1325-SW,485249,,52.258460,-115.250510,,Visible,
BU,BTNW-842-1,485250,,52.456580,-115.484420,,Visible,
BU,BTNW-489-SW,485251,,57.202660,-118.197920,,Visible,
BU,MPB-S10-839,485275,,49.341869,-114.110520,,Visible,
BU,MPB-B3-561,485276,,55.599785,-114.531728,,Visible,
BU,MPB-S5-911,485277,,52.745082,-117.955418,,Visible,
BU,MPB-H10-826,485278,,49.500090,-114.401230,,Visible,
BU,MPB-S5-915,485279,,52.908244,-118.007666,,Visible,
BU,MPB-B5-240,485280,,49.066535,-113.885487,,Visible,
BU,MPB-B10-641,485281,,49.033730,-113.570950,,Visible,
BU,MPB-H1-905,485282,,52.879937,-118.118921,,Visible,
BU,MPB-B10-640,485283,,49.030500,-113.577670,,Visible,
BU,MPB-B5-209,485284,,49.091470,-113.966650,,Visible,
BU,MPB-B10-638,485285,,49.017700,-113.587100,,Visible,
BU,MPB-B10-85,485286,,49.027410,-113.580700,,Visible,
BU,MPB-S10-217,485287,,49.059630,-113.785030,,Visible,
BU,MPB-B5-238,485288,,49.052580,-113.918720,,Visible,
BU,MPB-B5-299,485289,,49.132410,-114.030490,,Visible,
BU,MPB-B10-644,485290,,49.031890,-113.567074,,Visible,
BU,MPB-S5-914,485291,,52.909893,-118.002617,,Visible,
BU,MPB-H10-862,485292,,49.347460,-114.127425,,Visible,
BU,MPB-B10-855,485293,,49.517710,-114.399750,,Visible,
BU,MPB-B5-204,485294,,49.018489,-114.042056,,Visible,
BU,MPB-B10-636,485295,,49.026380,-113.592410,,Visible,
BU,MPB-S10-647,485296,,49.065020,-113.789930,,Visible,
BU,MPB-S5-902,485297,,52.876110,-118.117439,,Visible,
BU,MPB-H1-956,485298,,52.869860,-118.125800,,Visible,
BU,MPB-B5-921,485299,,52.864145,-117.792371,,Visible,
BU,MPB-B10-857,485300,,49.524960,-114.384350,,Visible,
BU,MPB-B5-554,485301,,55.662453,-114.595138,,Visible,
BU,MPB-B10-643,485302,,49.036160,-113.565120,,Visible,
BU,MPB-H10-852,485303,,49.504840,-114.399010,,Visible,
BU,MPB-S10-841,485304,,49.340340,-114.097200,,Visible,
BU,MPB-B10-851,485305,,49.502689,-114.403050,,Visible,
BU,MPB-S5-951,485306,,52.857650,-118.087640,,Visible,
BU,MPB-B5-207,485307,,49.015792,-114.051051,,Visible,
BU,MPB-H1-900,485308,,52.873876,-118.109620,,Visible,
BU,MPB-S10-861,485309,,49.346441,-114.132561,,Visible,
BU,MPB-S10-838,485310,,49.341450,-114.115490,,Visible,
BU,MPB-B5-563,485311,,55.662570,-114.600690,,Visible,
BU,MPB-B10-830,485312,,49.521485,-114.391150,,Visible,
BU,MPB-S5-912,485313,,52.677109,-117.887913,,Visible,
BU,MPB-B5-208,485314,,49.012770,-114.052620,,Visible,
BU,MPB-B10-831,485315,,49.522790,-114.387720,,Visible,
BU,MPB-B10-827,485316,,49.501150,-114.396690,,Visible,
BU,MPB-B5-68,485317,,55.663765,-114.591269,,Visible,
BU,MPB-B10-637,485318,,49.025930,-113.586330,,Visible,
BU,MPB-S5-909,485319,,52.750854,-117.960557,,Visible,
BU,MPB-S5-901,485320,,52.873710,-118.117640,,Visible,
BU,MPB-B10-856,485321,,49.520110,-114.402110,,Visible,
BU,MPB-B10-853,485322,,49.507210,-114.395110,,Visible,
BU,MPB-B10-829,485323,,49.516500,-114.393490,,Visible,
BU,MPB-H1-955,485324,,52.871470,-118.131960,,Visible,
BU,MPB-H10-858,485325,,49.348560,-114.148650,,Visible,
BU,MPB-S10-860,485326,,49.351490,-114.152060,,Visible,
BU,MPB-B5-626,485327,,49.094390,-113.963690,,Visible,
