organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,OG-2-7-E,50399,,54.668019,-110.985627,,Visible,
BU,BAM-22-191,238287,,54.606069,-110.211918,,Visible,
BU,BAM-22-98,308291,,55.605355,-114.994112,,Visible,
BU,BAM-22-95,308292,,55.608804,-114.982843,,Visible,
BU,BAM-22-99,308293,,57.347489,-118.485870,,Visible,
BU,BAM-22-96,308295,,55.611356,-114.985030,,Visible,
BU,BAM-22-92,308298,,55.141700,-113.186487,,Visible,
BU,BAM-22-90,308299,,55.146738,-113.201484,,Visible,
BU,BAM-22-91N,308300,,55.135167,-113.214783,,Visible,
BU,BAM-22-87,308302,,55.518284,-114.789209,,Visible,
BU,BAM-22-86,308303,,55.281403,-113.460878,,Visible,
BU,BAM-22-85,308304,,55.282850,-113.457875,,Visible,
BU,BAM-22-83,308307,,55.271702,-113.521944,,Visible,
BU,BAM-22-78,308309,,55.266527,-113.557332,,Visible,
BU,BAM-22-81,308310,,55.269957,-113.524464,,Visible,
BU,BAM-22-77,308311,,55.216510,-113.431682,,Visible,
BU,BAM-22-76,308312,,55.538514,-115.799249,,Visible,
BU,BAM-22-70,308316,,55.264740,-113.503890,,Visible,
BU,BAM-22-60,308320,,55.105544,-113.066470,,Visible,
BU,BAM-22-53N,308322,,55.107928,-113.054286,,Visible,
BU,BAM-22-46N,308323,,55.711460,-114.279655,,Visible,
BU,BAM-22-4-277N,308324,,55.539347,-114.008154,,Visible,
BU,BAM-22-50,308325,,55.545063,-115.802355,,Visible,
BU,BAM-22-39,308329,,55.254520,-113.510600,,Visible,
BU,BAM-22-33N,308334,,56.104407,-114.154574,,Visible,
BU,BAM-22-282,308336,,58.668750,-117.399370,,Visible,
BU,BAM-22-279,308338,,55.514117,-114.014628,,Visible,
BU,BAM-22-278,308339,,55.514319,-113.996795,,Visible,
BU,BAM-22-281,308340,,58.663393,-117.439835,,Visible,
BU,BAM-22-265,308343,,55.647509,-113.418583,,Visible,
BU,BAM-22-260,308348,,55.421581,-113.375353,,Visible,
BU,BAM-22-232,308351,,55.623188,-113.422506,,Visible,
BU,BAM-22-236,308352,,55.284506,-113.459496,,Visible,
BU,BAM-22-229,308353,,55.450217,-113.375843,,Visible,
BU,BAM-22-240,308354,,55.749856,-114.175552,,Visible,
BU,BAM-22-220,308359,,54.584395,-110.383165,,Visible,
BU,BAM-22-226,308360,,55.614555,-113.414666,,Visible,
BU,BAM-22-214N,308362,,55.645835,-113.407105,,Visible,
BU,BAM-22-215N,308363,,55.820782,-114.283145,,Visible,
BU,BAM-22-217,308365,,55.266751,-113.561583,,Visible,
BU,BAM-22-202,308368,,56.063768,-113.733163,,Visible,
BU,BAM-22-206,308369,,54.745877,-113.667542,,Visible,
BU,BAM-22-207,308370,,55.608711,-114.535090,,Visible,
BU,BAM-22-185,308373,,55.653328,-113.389050,,Visible,
BU,BAM-22-189N,308375,,55.910352,-113.527124,,Visible,
BU,BAM-22-182,308376,,54.623247,-110.230563,,Visible,
BU,BAM-22-181,308377,,54.627523,-110.222243,,Visible,
BU,BAM-22-167,308382,,55.980638,-113.761059,,Visible,
BU,BAM-22-160,308386,,54.578007,-110.332049,,Visible,
BU,BAM-22-155,308387,,54.586522,-110.344175,,Visible,
BU,BAM-22-154N,308388,,55.560572,-112.329747,,Visible,
BU,BAM-22-143,308391,,55.271788,-113.557032,,Visible,
BU,BAM-22-147,308393,,55.256332,-113.501808,,Visible,
BU,BAM-22-138,308395,,56.058778,-114.091281,,Visible,
BU,BAM-22-137,308397,,55.256734,-113.525773,,Visible,
BU,BAM-22-133,308398,,55.358242,-114.593345,,Visible,
BU,BAM-22-134,308399,,56.070136,-114.083849,,Visible,
BU,BAM-22-130N,308400,,55.560057,-112.332018,,Visible,
BU,BAM-22-13,308403,,54.663687,-111.007010,,Visible,
BU,BAM-22-126,308405,,56.037819,-113.735027,,Visible,
BU,BAM-22-120,308407,,56.041097,-113.733619,,Visible,
BU,BAM-22-12,308408,,54.658430,-111.006644,,Visible,
BU,BAM-22-121,308410,,56.045630,-113.726344,,Visible,
BU,BAM-22-11,308411,,54.660737,-110.998453,,Visible,
BU,BAM-22-101,308416,,57.353140,-118.474060,,Visible,
BU,BAM-22-100,308417,,57.342840,-118.466890,,Visible,
BU,BAM-22-47N,308764,,56.101760,-114.137295,,Visible,
BU,BAM-22-139N,308780,,55.553051,-112.303329,,Visible,
BU,BAM-22-108A,485229,,55.537660,-114.788120,,Visible,
BU,BAM-22-225A,485230,,56.070560,-114.096000,,Visible,
BU,BAM-22-257A,485231,,55.601430,-113.427500,,Visible,
BU,BAM-22-272A,485232,,55.600370,-113.419600,,Visible,
BU,BTNW-1267-NE,485246,,52.647402,-115.470586,,Visible,
BU,BTNW-1295-SW,485247,,52.458455,-115.479503,,Visible,
BU,BTNW-1325-SE,485248,,52.257949,-115.246400,,Visible,
BU,BTNW-1325-SW,485249,,52.258460,-115.250510,,Visible,
BU,BTNW-842-1,485250,,52.456580,-115.484420,,Visible,
BU,BTNW-489-SW,485251,,57.202660,-118.197920,,Visible,
BU,BTNW-1-1,486140,,55.666440,-113.455720,,Visible,
BU,BTNW-2-1,486142,,55.850410,-111.468680,,Visible,
