organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,RETN-4-6,31919,,54.756868,-118.943812,,Visible,
BU,RETN-25-4,31945,,55.177659,-113.234643,,Visible,
BU,RETN-27-2,31952,,55.123880,-113.229785,,Visible,
BU,RETN-42-1,31990,,55.092365,-111.552083,,Visible,
BU,RETN-28-1,31997,,55.313223,-113.263413,,Visible,
BU,AM-429-NW,34334,,56.902747,-111.924749,,Visible,
BU,BG-6-94,34962,,56.249027,-110.868299,,Visible,
BU,RETN-29-3,44398,,55.366350,-113.338310,,Visible,
BU,RETNO-1-4,46885,,54.474945,-118.991577,,Visible,
BU,RETNO-1-8,46889,,54.689900,-119.080934,,Visible,
BU,RETNO-1-14,46895,,53.968782,-118.661367,,Visible,
BU,RETNO-1-15,46896,,54.018014,-118.619370,,Visible,
BU,RETNO-1-20,46901,,54.427413,-117.980015,,Visible,
BU,RETNO-1-23,46904,,54.671280,-118.793310,,Visible,
BU,RETNO-1-34,46915,,55.060430,-111.819220,,Visible,
BU,RETNO-1-35,46916,,55.063130,-111.834750,,Visible,
BU,RETNO-1-36,46917,,55.057670,-111.840570,,Visible,
BU,RETNO-1-37,46918,,55.054880,-111.923160,,Visible,
BU,RETNO-1-42,46923,,55.734020,-119.812690,,Visible,
BU,RETNO-1-45,46926,,54.011000,-118.622350,,Visible,
BU,RETNO-1-51,46932,,54.256677,-118.216381,,Visible,
BU,RETNO-1-52,46933,,54.415741,-118.024246,,Visible,
BU,RETNO-1-55,46936,,55.133309,-111.981693,,Visible,
BU,RETNO-1-60,46941,,54.029778,-118.600547,,Visible,
BU,RETNO-1-63,46944,,54.020852,-118.613317,,Visible,
BU,RETNO-1-66,46947,,54.063398,-118.570438,,Visible,
BU,RETN-23-3,46982,,55.680065,-113.444862,,Visible,
BU,RETN-62-6,47006,,54.185108,-118.087191,,Visible,
BU,RETN-68-2,47009,,55.029680,-113.712990,,Visible,
BU,OG-37-126-E,50700,,55.785570,-114.190490,,Visible,
BU,OG-37-128-B,50707,,55.789000,-114.181000,,Visible,
BU,STB-2-3,55169,,53.705506,-117.667814,,Visible,
BU,FMX-2-18-2,69205,,55.450940,-114.764720,,Visible,
BU,RETNO-2-100,71364,,53.040487,-116.983086,,Visible,
BU,RETNO-2-97,71365,,53.059168,-117.004572,,Visible,
BU,RETNO-2-111,71366,,53.089454,-117.121368,,Visible,
BU,RETNO-3-2,71367,,54.285810,-116.812990,,Visible,
BU,RETNO-2-55,71368,,53.089773,-116.941488,,Visible,
BU,RETNO-2-72,71374,,53.087256,-117.003206,,Visible,
BU,RETNO-2-144,71376,,54.338090,-116.910820,,Visible,
BU,RETNO-2-92,71377,,53.072119,-117.040089,,Visible,
BU,RETNO-2-88,71379,,53.090677,-117.063440,,Visible,
BU,RETNO-2-22,71380,,52.791950,-116.385560,,Visible,
BU,RETNO-3-3,71381,,54.199410,-116.704560,,Visible,
BU,RETNO-2-120,71382,,53.052029,-116.800722,,Visible,
BU,RETNO-2-105,71384,,53.068010,-117.064868,,Visible,
BU,MR-6-2,88003,,57.483382,-111.508625,,Visible,
BU,H-RS-9-25,89388,,53.416610,-116.085510,,Visible,
BU,H-RS-9-7,89389,,53.411550,-116.085971,,Visible,
BU,H-RS-9-5,89391,,53.409780,-116.072611,,Visible,
BU,H-RS-9-24,89393,,53.416340,-116.090580,,Visible,
BU,H-RS-7-52,89394,,52.815500,-115.101319,,Visible,
BU,H-RS-6-53,89399,,52.196080,-115.336147,,Visible,
BU,H-RS-6-46,89400,,52.181220,-115.346770,,Visible,
BU,H-RS-6-32,89401,,52.155800,-115.354122,,Visible,
BU,H-RS-5-60,89403,,51.558410,-115.184743,,Visible,
BU,H-RS-6-14,89404,,52.143000,-115.353980,,Visible,
BU,H-RS-5-55,89408,,51.553750,-115.200401,,Visible,
BU,H-RS-5-1,89409,,51.488300,-115.187966,,Visible,
BU,H-RS-3-60,89410,,50.051150,-114.563270,,Visible,
BU,H-RS-3-52,89411,,50.042880,-114.564674,,Visible,
