organization,location,location_id,location_buffer_m,latitude,longitude,elevation,location_visibility,location_comments
BU,MPB-S10-839,485275,,49.341869,-114.110520,,Visible,
BU,MPB-B3-561,485276,,55.599785,-114.531728,,Visible,
BU,MPB-S5-911,485277,,52.745082,-117.955418,,Visible,
BU,MPB-H10-826,485278,,49.500090,-114.401230,,Visible,
BU,MPB-S5-915,485279,,52.908244,-118.007666,,Visible,
BU,MPB-B5-240,485280,,49.066535,-113.885487,,Visible,
BU,MPB-B10-641,485281,,49.033730,-113.570950,,Visible,
BU,MPB-H1-905,485282,,52.879937,-118.118921,,Visible,
BU,MPB-B10-640,485283,,49.030500,-113.577670,,Visible,
BU,MPB-B5-209,485284,,49.091470,-113.966650,,Visible,
BU,MPB-B10-638,485285,,49.017700,-113.587100,,Visible,
BU,MPB-B10-85,485286,,49.027410,-113.580700,,Visible,
BU,MPB-S10-217,485287,,49.059630,-113.785030,,Visible,
BU,MPB-B5-238,485288,,49.052580,-113.918720,,Visible,
BU,MPB-B5-299,485289,,49.132410,-114.030490,,Visible,
BU,MPB-B10-644,485290,,49.031890,-113.567074,,Visible,
BU,MPB-S5-914,485291,,52.909893,-118.002617,,Visible,
BU,MPB-H10-862,485292,,49.347460,-114.127425,,Visible,
BU,MPB-B10-855,485293,,49.517710,-114.399750,,Visible,
BU,MPB-B5-204,485294,,49.018489,-114.042056,,Visible,
BU,MPB-B10-636,485295,,49.026380,-113.592410,,Visible,
BU,MPB-S10-647,485296,,49.065020,-113.789930,,Visible,
BU,MPB-S5-902,485297,,52.876110,-118.117439,,Visible,
BU,MPB-H1-956,485298,,52.869860,-118.125800,,Visible,
BU,MPB-B5-921,485299,,52.864145,-117.792371,,Visible,
BU,MPB-B10-857,485300,,49.524960,-114.384350,,Visible,
BU,MPB-B5-554,485301,,55.662453,-114.595138,,Visible,
BU,MPB-B10-643,485302,,49.036160,-113.565120,,Visible,
BU,MPB-H10-852,485303,,49.504840,-114.399010,,Visible,
BU,MPB-S10-841,485304,,49.340340,-114.097200,,Visible,
BU,MPB-B10-851,485305,,49.502689,-114.403050,,Visible,
BU,MPB-S5-951,485306,,52.857650,-118.087640,,Visible,
BU,MPB-B5-207,485307,,49.015792,-114.051051,,Visible,
BU,MPB-H1-900,485308,,52.873876,-118.109620,,Visible,
BU,MPB-S10-861,485309,,49.346441,-114.132561,,Visible,
BU,MPB-S10-838,485310,,49.341450,-114.115490,,Visible,
BU,MPB-B5-563,485311,,55.662570,-114.600690,,Visible,
BU,MPB-B10-830,485312,,49.521485,-114.391150,,Visible,
BU,MPB-S5-912,485313,,52.677109,-117.887913,,Visible,
BU,MPB-B5-208,485314,,49.012770,-114.052620,,Visible,
BU,MPB-B10-831,485315,,49.522790,-114.387720,,Visible,
BU,MPB-B10-827,485316,,49.501150,-114.396690,,Visible,
BU,MPB-B5-68,485317,,55.663765,-114.591269,,Visible,
BU,MPB-B10-637,485318,,49.025930,-113.586330,,Visible,
BU,MPB-S5-909,485319,,52.750854,-117.960557,,Visible,
BU,MPB-S5-901,485320,,52.873710,-118.117640,,Visible,
BU,MPB-B10-856,485321,,49.520110,-114.402110,,Visible,
