location,recordingDate,method,taskLength,status,transcriber,rain,wind,industryNoise,otherNoise,audioQuality,taskComments,internal_task_id
1267-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863922
1294-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863914
1268-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864033
1296-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864081
1049-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864133
1324-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863974
1014-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864104
1294-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864139
1267-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864149
1296-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864001
1296-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864074
1048-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864111
1294-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863907
1049-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863913
1296-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863934
1015-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863943
1267-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863944
1239-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863957
1324-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863969
1014-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863981
1048-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864007
1295-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864013
1048-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864021
1237-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864040
1266-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864046
1239-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864048
1268-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864099
1015-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864148
1239-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863935
1014-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863962
1266-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,863977
1268-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864027
1324-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864050
1014-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864059
1266-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864076
1324-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864110
1295-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864116
1237-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864124
1294-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864134
1267-SE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864173
1237-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864008
1295-NW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864025
1239-NE, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864077
1295-SW, 2023-05-24 05:51:00,None,1,New,Not Assigned,,,,,,,864130
1296-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865164
1239-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865156
1014-SW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865159
1324-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865160
1266-NW, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865161
1266-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865165
1239-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865166
1296-NE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865167
1014-SE, 2023-05-15 06:05:00,None,1,New,Not Assigned,,,,,,,865172
