,location,earliest,latest,earliestCalendar,latestCalendar
1,1014-NE,38,208,2023-02-07,2023-07-27
2,1014-NW,38,194,2023-02-07,2023-07-13
3,1014-SE,38,208,2023-02-07,2023-07-27
4,1014-SW,38,208,2023-02-07,2023-07-27
5,1015-NE,68,194,2023-03-09,2023-07-13
6,1015-NW,68,158,2023-03-09,2023-06-07
7,1015-SE,68,194,2023-03-09,2023-07-13
8,1015-SW,68,151,2023-03-09,2023-05-31
9,1048-NE,39,209,2023-02-08,2023-07-28
10,1048-NW,39,209,2023-02-08,2023-07-28
11,1048-SE,39,209,2023-02-08,2023-07-28
12,1049-NE,46,195,2023-02-15,2023-07-14
13,1049-NW,46,195,2023-02-15,2023-07-14
14,1049-SE,46,195,2023-02-15,2023-07-14
15,1049-SW,84,194,2023-03-25,2023-07-13
16,1154-NE,5,190,2023-01-05,2023-07-09
17,1154-NW,6,190,2023-01-06,2023-07-09
18,1154-SE,5,173,2023-01-05,2023-06-22
19,1154-SW,5,190,2023-01-05,2023-07-09
20,1156-NE,45,192,2023-02-14,2023-07-11
21,1156-NW,45,192,2023-02-14,2023-07-11
22,1156-SE,45,192,2023-02-14,2023-07-11
23,1156-SW,45,192,2023-02-14,2023-07-11
24,1237-NE,60,311,2023-03-01,2023-11-07
25,1237-NW,60,311,2023-03-01,2023-11-07
26,1237-SE,60,311,2023-03-01,2023-11-07
27,1237-SW,60,311,2023-03-01,2023-11-07
28,1239-NE,60,312,2023-03-01,2023-11-08
29,1239-NW,60,312,2023-03-01,2023-11-08
30,1239-SE,60,312,2023-03-01,2023-11-08
31,1239-SW,60,312,2023-03-01,2023-11-08
32,1249-NE,46,191,2023-02-15,2023-07-10
33,1249-NW,46,191,2023-02-15,2023-07-10
34,1249-SE,46,158,2023-02-15,2023-06-07
35,1249-SW,46,168,2023-02-15,2023-06-17
36,1266-NE,76,219,2023-03-17,2023-08-07
37,1266-NW,76,219,2023-03-17,2023-08-07
38,1266-SE,76,219,2023-03-17,2023-08-07
39,1266-SW,76,219,2023-03-17,2023-08-07
40,1267-NE,60,313,2023-03-01,2023-11-09
41,1267-NW,60,313,2023-03-01,2023-11-09
42,1267-SE,60,313,2023-03-01,2023-11-09
43,1267-SW,60,313,2023-03-01,2023-11-09
44,1268-NE,60,312,2023-03-01,2023-11-08
45,1268-NW,60,312,2023-03-01,2023-11-08
46,1268-SE,60,312,2023-03-01,2023-11-08
47,1268-SW,60,312,2023-03-01,2023-11-08
48,1294-NE,60,312,2023-03-01,2023-11-08
49,1294-NW,60,312,2023-03-01,2023-11-08
50,1294-SE,60,312,2023-03-01,2023-11-08
51,1294-SW,60,312,2023-03-01,2023-11-08
52,1295-NE,60,313,2023-03-01,2023-11-09
53,1295-NW,60,314,2023-03-01,2023-11-10
54,1295-SE,60,313,2023-03-01,2023-11-09
55,1295-SW,60,314,2023-03-01,2023-11-10
56,1296-NE,60,312,2023-03-01,2023-11-08
57,1296-NW,60,312,2023-03-01,2023-11-08
58,1296-SE,60,312,2023-03-01,2023-11-08
59,1296-SW,60,312,2023-03-01,2023-11-08
60,1324-NE,77,218,2023-03-18,2023-08-06
61,1324-NW,77,218,2023-03-18,2023-08-06
62,1324-SE,73,218,2023-03-14,2023-08-06
63,1324-SW,77,218,2023-03-18,2023-08-06
64,1502-NE,83,202,2023-03-24,2023-07-21
65,1502-NW,83,202,2023-03-24,2023-07-21
66,1502-SE,83,194,2023-03-24,2023-07-13
67,1502-SW,83,202,2023-03-24,2023-07-21
68,1503-NE,80,194,2023-03-21,2023-07-13
69,1503-NW,80,205,2023-03-21,2023-07-24
70,1503-SE,80,205,2023-03-21,2023-07-24
71,1503-SW,34,205,2023-02-03,2023-07-24
72,1504-NE,80,176,2023-03-21,2023-06-25
73,1504-NW,80,206,2023-03-21,2023-07-25
74,1504-SE,80,206,2023-03-21,2023-07-25
75,1504-SW,73,206,2023-03-14,2023-07-25
76,1521-NE,83,203,2023-03-24,2023-07-22
77,1521-NW,83,203,2023-03-24,2023-07-22
78,1521-SE,83,194,2023-03-24,2023-07-13
79,1521-SW,83,203,2023-03-24,2023-07-22
80,1522-NE,82,203,2023-03-23,2023-07-22
81,1522-NW,82,203,2023-03-23,2023-07-22
82,1522-SE,82,203,2023-03-23,2023-07-22
83,1522-SW,82,203,2023-03-23,2023-07-22
84,1540-NE,81,204,2023-03-22,2023-07-23
85,1540-NW,81,204,2023-03-22,2023-07-23
86,1540-SE,81,204,2023-03-22,2023-07-23
87,1540-SW,81,204,2023-03-22,2023-07-23
88,1541-NE,81,205,2023-03-22,2023-07-24
89,1541-NW,81,205,2023-03-22,2023-07-24
90,1541-SE,81,205,2023-03-22,2023-07-24
91,1541-SW,81,205,2023-03-22,2023-07-24
92,1557-NE,82,194,2023-03-23,2023-07-13
93,1557-NW,82,189,2023-03-23,2023-07-08
94,1557-SE,82,204,2023-03-23,2023-07-23
95,1557-SW,82,204,2023-03-23,2023-07-23
96,339-NE,60,321,2023-03-01,2023-11-17
97,339-NW,60,321,2023-03-01,2023-11-17
98,339-SE,60,321,2023-03-01,2023-11-17
99,339-SW,60,321,2023-03-01,2023-11-17
100,340-NE,60,322,2023-03-01,2023-11-18
101,340-NW,60,322,2023-03-01,2023-11-18
102,340-SE,60,322,2023-03-01,2023-11-18
103,340-SW,60,322,2023-03-01,2023-11-18
104,341-NE,60,326,2023-03-01,2023-11-22
105,341-NW,60,326,2023-03-01,2023-11-22
106,341-SE,60,326,2023-03-01,2023-11-22
107,341-SW,60,326,2023-03-01,2023-11-22
108,398-NE,60,323,2023-03-01,2023-11-19
109,398-NW,60,323,2023-03-01,2023-11-19
110,398-SE,60,323,2023-03-01,2023-11-19
111,398-SW,60,323,2023-03-01,2023-11-19
