location,earliest recording date,latest recording date,latitude,longitude,nearest AQHI,potential clear day,potential smoky day
fhp-g-298r22,"June 10, 2023","June 29, 2023",51.46146,-115.10944,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-299r22,"June 10, 2023","June 29, 2023",51.45551,-115.13541,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-205,"June 9, 2023","June 14, 2023",51.56955,-114.9695,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-229,"June 9, 2023","June 15, 2023",51.39426,-115.00864,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-149,"June 9, 2023","June 21, 2023",51.784703,-115.287859,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-307o22,"June 9, 2023","June 24, 2023",51.58175,-114.96995,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-308l22,"June 9, 2023","June 26, 2023",51.60592,-115.03123,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-308o22,"June 9, 2023","June 26, 2023",51.59604,-115.00137,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-3110f22,"June 9, 2023","June 26, 2023",51.6844,-115.29322,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-299h22,"June 8, 2023","June 15, 2023",51.50819,-115.16413,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-299o22,"June 8, 2023","June 16, 2023",51.53247,-115.19286,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-221,"June 8, 2023","June 20, 2023",51.897395,-115.008394,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-200,"June 8, 2023","June 25, 2023",51.52272,-115.24044,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-3110o22,"June 7, 2023","June 13, 2023",51.68295,-115.32732,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-161,"June 7, 2023","June 19, 2023",51.95495,-115.21917,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-163,"June 7, 2023","June 19, 2023",51.941495,-115.190127,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-210,"June 7, 2023","June 19, 2023",51.87756,-115.113094,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-158,"June 7, 2023","June 21, 2023",51.940177,-115.179361,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-160,"June 7, 2023","June 21, 2023",51.961366,-115.222835,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-157,"June 7, 2023","June 21, 2023",51.94202,-115.18304,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-162,"June 7, 2023","June 21, 2023",51.94383,-115.19439,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-227,"June 7, 2023","June 21, 2023",51.94259,-115.17891,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-288l22,"June 6, 2023","June 24, 2023",51.38052,-115.09583,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-289f22,"June 6, 2023","June 24, 2023",51.37051,-115.21963,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-289r22,"June 6, 2023","June 24, 2023",51.38967,-115.22257,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-152,"June 5, 2023","June 12, 2023",51.36516,-114.9708,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-168,"June 5, 2023","June 12, 2023",51.44641,-114.93884,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-151,"June 5, 2023","June 12, 2023",51.367289,-114.975044,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-153,"June 5, 2023","June 12, 2023",51.36448,-114.977109,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-167,"June 5, 2023","June 12, 2023",51.450164,-114.940259,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-277l22,"June 5, 2023","June 15, 2023",51.32155,-114.98404,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-277h22,"June 5, 2023","June 19, 2023",51.30529,-114.99282,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-278l22,"June 5, 2023","June 19, 2023",51.29042,-115.03707,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-278o22,"June 5, 2023","June 19, 2023",51.31503,-115.04291,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-278r22,"June 5, 2023","June 19, 2023",51.30986,-115.06663,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-288f22,"June 5, 2023","June 19, 2023",51.37534,-115.05086,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-277r22,"June 5, 2023","June 21, 2023",51.34038,-114.9492,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-211,"June 3, 2023","June 21, 2023",51.88135,-115.10275,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-201,"June 3, 2023","June 24, 2023",51.525136,-115.235871,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-146,"June 2, 2023","June 12, 2023",51.594965,-115.148107,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-195,"June 2, 2023","June 12, 2023",51.63689,-115.16636,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-196,"June 2, 2023","June 12, 2023",51.63674,-115.152502,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-147,"June 2, 2023","June 12, 2023",51.596879,-115.151488,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-170,"June 2, 2023","June 13, 2023",51.68461,-115.3519,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-171,"June 2, 2023","June 13, 2023",51.695409,-115.35095,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-169,"June 2, 2023","June 13, 2023",51.686126,-115.34758,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-236,"June 2, 2023","June 14, 2023",51.65881,-115.36696,Caroline,"June 10, 2023","June 11, 2023"
h23-rs-137,"June 2, 2023","June 14, 2023",51.658351,-115.359815,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-309o22,"June 2, 2023","June 15, 2023",51.61793,-115.24709,Caroline,"June 10, 2023","June 11, 2023"
h23-cc-140,"June 2, 2023","June 19, 2023",51.658556,-115.383586,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-308f22,"June 2, 2023","June 26, 2023",51.60739,-115.01916,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-308h22,"June 2, 2023","June 26, 2023",51.61665,-115.04746,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-309h22,"May 31, 2023","June 12, 2023",51.59476,-115.14621,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-309l22,"May 31, 2023","June 15, 2023",51.57035,-115.17709,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-318l22,"May 31, 2023","June 23, 2023",51.64423,-115.0926,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-319h22,"May 31, 2023","June 23, 2023",51.66016,-115.17446,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-319l22,"May 31, 2023","June 23, 2023",51.66618,-115.20978,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-318h22,"May 31, 2023","June 27, 2023",51.66175,-115.06961,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-318r22,"May 31, 2023","June 27, 2023",51.64876,-115.01827,Caroline,"June 10, 2023","June 11, 2023"
fhp-s-319o22,"May 31, 2023","June 27, 2023",51.65882,-115.23004,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-309f22,"May 30, 2023","June 15, 2023",51.61331,-115.2091,Caroline,"June 10, 2023","June 11, 2023"
fhp-g-3010f22,"May 30, 2023","June 17, 2023",51.57691,-115.39384,Caroline,"June 10, 2023","June 11, 2023"
