"","location","town","distWeatherStation"
"1","fhp-g-298r22","Caroline",74754.3770530383
"2","fhp-g-299r22","Caroline",76001.9172336104
"3","h23-cc-205","Caroline",60366.1498538238
"4","h23-cc-229","Airdrie",70205.4931216374
"5","h23-cc-149","Caroline",50975.2630346251
"6","fhp-g-307o22","Caroline",59066.2306460971
"7","fhp-g-308l22","Caroline",57808.7207151099
"8","fhp-g-308o22","Caroline",58170.7969210483
"9","fhp-s-3110f22","Caroline",59326.147623571
"10","fhp-g-299h22","Caroline",71350.6991446147
"11","fhp-g-299o22","Caroline",69758.4475195569
"12","h23-rs-221","Caroline",28564.1598033848
"13","h23-rs-200","Caroline",72239.0267156093
"14","fhp-s-3110o22","Caroline",60979.8895905236
"15","h23-cc-161","Caroline",36326.2362188226
"16","h23-cc-163","Caroline",35229.3658844801
"17","h23-cc-210","Caroline",35129.1714419351
"18","h23-cc-158","Caroline",34655.4210891307
"19","h23-cc-160","Caroline",36257.0559767193
"20","h23-rs-157","Caroline",34775.1335099206
"21","h23-rs-162","Caroline",35362.6169853786
"22","h23-rs-227","Caroline",34496.5124383385
"23","fhp-g-288l22","Airdrie",76002.8500905837
"24","fhp-g-289f22","Airdrie",84446.8359692473
"25","fhp-g-289r22","Airdrie",84877.1664694994
"26","h23-cc-152","Airdrie",67163.1972462436
"27","h23-cc-168","Airdrie",66624.1530390623
"28","h23-rs-151","Airdrie",67483.7686098318
"29","h23-rs-153","Airdrie",67590.9503018935
"30","h23-rs-167","Airdrie",66825.1425908911
"31","fhp-g-277l22","Airdrie",67708.546633697
"32","fhp-g-277h22","Airdrie",68270.7094801353
"33","fhp-g-278l22","Airdrie",71352.0363573496
"34","fhp-g-278o22","Airdrie",71782.3810388387
"35","fhp-g-278r22","Airdrie",73421.180572103
"36","fhp-g-288f22","Airdrie",72827.7567840479
"37","fhp-g-277r22","Airdrie",65406.8099868141
"38","h23-cc-211","Caroline",34322.5406744229
"39","h23-cc-201","Caroline",71852.3438019824
"40","h23-cc-146","Caroline",62157.7203254398
"41","h23-cc-195","Caroline",58652.9064102946
"42","h23-cc-196","Caroline",58195.5596797738
"43","h23-rs-147","Caroline",62073.8452020291
"44","h23-cc-170","Caroline",61978.0963865307
"45","h23-cc-171","Caroline",61054.4852937269
"46","h23-rs-169","Caroline",61652.0897999556
"47","h23-cc-236","Caroline",64805.1716352966
"48","h23-rs-137","Caroline",64517.0444889088
"49","fhp-g-309o22","Caroline",63375.7859941823
"50","h23-cc-140","Caroline",65593.8499136831
"51","fhp-g-308f22","Caroline",57371.1795311514
"52","fhp-g-308h22","Caroline",57096.2386620021
"53","fhp-g-309h22","Caroline",62119.069639256
"54","fhp-g-309l22","Caroline",65507.1683877496
"55","fhp-s-318l22","Caroline",55545.9480130245
"56","fhp-s-319h22","Caroline",56716.9829651713
"57","fhp-s-319l22","Caroline",57480.6687721867
"58","fhp-s-318h22","Caroline",53103.4829485219
"59","fhp-s-318r22","Caroline",53035.8618145594
"60","fhp-s-319o22","Caroline",58947.2942097563
"61","fhp-g-309f22","Caroline",62411.8048673454
"62","fhp-g-3010f22","Caroline",73003.0586297779
"63","fhp-g-3010l22","Caroline",74428.2493963995
"64","fhp-g-3010o22","Caroline",70750.6774224707
"65","fhp-g-3010r22","Caroline",67540.6712030146
"66","fhp-s-3110h22","Caroline",63745.5773185934
"67","fhp-g-299l22","Caroline",72405.9433001751
"68","fhp-g-287h22","Airdrie",66797.2302138443
"69","fhp-g-287f22","Airdrie",66480.1960998227
"70","fhp-g-287o22","Airdrie",67453.5627210831
"71","fhp-g-287r22","Airdrie",67879.3575196043
"72","fhp-g-288h22","Airdrie",69411.9095444686
"73","fhp-g-288r22","Airdrie",70740.4647218403
"74","fhp-s-3110l22","Caroline",62219.7142768559
"75","fhp-g-277o22","Airdrie",65707.6502014635
"76","fhp-g-279h22","Airdrie",77852.912556981
"77","fhp-g-279o22","Airdrie",78633.7255862225
"78","fhp-g-298o22","Caroline",69243.164971646
