,location,recordingDate,method,taskLength,organization,taskComments
1,1015-NE, 2023-05-24 05:51:00,None,60,ABMI,
2,1015-SE, 2023-05-24 05:51:00,None,60,ABMI,
3,1015-SW, 2023-05-21 05:55:00,None,60,ABMI,
4,1048-NW, 2023-05-15 06:05:00,None,60,ABMI,
5,1049-NE, 2023-05-24 05:51:00,None,60,ABMI,
6,1049-SE, 2023-05-24 07:21:00,None,60,ABMI,
7,1049-SW, 2023-05-21 05:55:00,None,60,ABMI,
8,1266-NW, 2023-05-24 05:51:00,None,60,ABMI,
9,1267-NW, 2023-05-21 05:55:00,None,60,ABMI,
10,1267-SE, 2023-05-15 06:05:00,None,60,ABMI,
11,1267-SE, 2023-05-21 05:55:00,None,60,ABMI,
12,1268-NE, 2023-05-15 06:05:00,None,60,ABMI,
13,1268-SE, 2023-05-24 05:51:00,None,60,ABMI,
14,1267-NE, 2023-05-24 05:51:00,None,60,ABMI,
15,1294-NW, 2023-05-24 05:51:00,None,60,ABMI,
16,1268-NW, 2023-05-24 05:51:00,None,60,ABMI,
17,1296-SE, 2023-05-24 05:51:00,None,60,ABMI,
18,1049-SW, 2023-05-24 05:51:00,None,60,ABMI,
19,1324-NE, 2023-05-24 05:51:00,None,60,ABMI,
20,1014-NE, 2023-05-24 05:51:00,None,60,ABMI,
21,1294-SE, 2023-05-24 05:51:00,None,60,ABMI,
22,1267-SW, 2023-05-24 05:51:00,None,60,ABMI,
23,1296-NE, 2023-05-24 05:51:00,None,60,ABMI,
24,1296-SW, 2023-05-24 05:51:00,None,60,ABMI,
25,1048-SE, 2023-05-24 05:51:00,None,60,ABMI,
26,1294-NE, 2023-05-24 05:51:00,None,60,ABMI,
27,1049-NW, 2023-05-24 05:51:00,None,60,ABMI,
28,1296-NW, 2023-05-24 05:51:00,None,60,ABMI,
29,1015-SW, 2023-05-24 05:51:00,None,60,ABMI,
30,1267-NW, 2023-05-24 05:51:00,None,60,ABMI,
31,1239-SE, 2023-05-24 05:51:00,None,60,ABMI,
32,1324-NW, 2023-05-24 05:51:00,None,60,ABMI,
33,1014-SE, 2023-05-24 05:51:00,None,60,ABMI,
34,1048-NE, 2023-05-24 05:51:00,None,60,ABMI,
