"","recording_name","site","date","time","treatment","total_song_count","number_of_individuals","mean_singing_rate"
"1","1014-NE 2023-05-21","1014-NE","2023-05-21","05:55:00","smoky",11,4,2.75
"2","1014-NE 2023-05-24","1014-NE","2023-05-24","05:51:00","non-smoky",7,2,3.5
"3","1014-SE 2023-05-15","1014-SE","2023-05-15","06:05:00","non-smoky",21,5,4.2
"4","1014-SE 2023-05-21","1014-SE","2023-05-21","05:55:00","smoky",9,4,2.25
"5","1014-SW 2023-05-15","1014-SW","2023-05-15","06:05:00","non-smoky",4,1,4
"6","1014-SW 2023-05-21","1014-SW","2023-05-21","05:55:00","smoky",5,1,5
"7","1015-SW 2023-05-15","1015-SW","2023-05-15","06:05:00","non-smoky",0,0,0
"8","1015-SW 2023-05-21","1015-SW","2023-05-21","05:55:00","smoky",1,1,1
"9","1048-NE 2023-05-15","1048-NE","2023-05-15","06:05:00","non-smoky",4,1,4
"10","1048-NE 2023-05-21","1048-NE","2023-05-21","05:55:00","smoky",6,2,3
"11","1048-NW 2023-05-21","1048-NW","2023-05-21","05:55:00","smoky",7,2,3.5
"12","1048-NW 2023-05-24","1048-NW","2023-05-24","05:51:00","non-smoky",3,1,3
"13","1048-SE 2023-05-21","1048-SE","2023-05-21","05:55:00","smoky",1,1,1
"14","1048-SE 2023-05-24","1048-SE","2023-05-24","05:51:00","non-smoky",2,1,2
"15","1049-NE 2023-05-15","1049-NE","2023-05-15","06:05:00","non-smoky",3,1,3
"16","1049-NE 2023-05-21","1049-NE","2023-05-21","05:55:00","smoky",0,0,0
"17","1049-SE 2023-05-21","1049-SE","2023-05-21","05:55:00","smoky",0,0,0
"18","1049-SE 2023-05-24","1049-SE","2023-05-24","07:21:00","non-smoky",3,1,3
"19","1049-SW 2023-05-15","1049-SW","2023-05-15","06:05:00","non-smoky",0,0,0
"20","1049-SW 2023-05-21","1049-SW","2023-05-21","05:55:00","smoky",2,1,2
"21","1237-NW 2023-05-15","1237-NW","2023-05-15","06:05:00","non-smoky",10,2,5
"22","1237-NW 2023-05-21","1237-NW","2023-05-21","05:55:00","smoky",11,3,3.67
"23","1237-SE 2023-05-21","1237-SE","2023-05-21","05:55:00","smoky",0,0,0
"24","1237-SE 2023-05-24","1237-SE","2023-05-24","05:51:00","non-smoky",5,1,5
"25","1237-SW 2023-05-21","1237-SW","2023-05-21","05:55:00","smoky",6,1,6
"26","1237-SW 2023-05-24","1237-SW","2023-05-24","05:51:00","non-smoky",14,3,4.67
"27","1239-NE 2023-05-21","1239-NE","2023-05-21","05:55:00","smoky",0,0,0
"28","1239-NE 2023-05-24","1239-NE","2023-05-24","05:51:00","non-smoky",4,3,1.33
"29","1239-NW 2023-05-15","1239-NW","2023-05-15","06:05:00","non-smoky",7,2,3.5
"30","1239-NW 2023-05-21","1239-NW","2023-05-21","05:55:00","smoky",11,2,5.5
"31","1239-SE 2023-05-21","1239-SE","2023-05-21","05:55:00","smoky",0,0,0
"32","1239-SE 2023-05-24","1239-SE","2023-05-24","05:51:00","non-smoky",1,1,1
"33","1239-SW 2023-05-15","1239-SW","2023-05-15","06:05:00","non-smoky",2,1,2
"34","1239-SW 2023-05-21","1239-SW","2023-05-21","05:55:00","smoky",2,1,2
"35","1266-NE 2023-05-21","1266-NE","2023-05-21","05:55:00","smoky",35,6,5.83
"36","1266-NE 2023-05-24","1266-NE","2023-05-24","05:51:00","non-smoky",25,5,5
"37","1266-NW 2023-05-15","1266-NW","2023-05-15","06:05:00","non-smoky",18,4,4.5
"38","1266-NW 2023-05-21","1266-NW","2023-05-21","05:55:00","smoky",5,2,2.5
"39","1267-NE 2023-05-21","1267-NE","2023-05-21","05:55:00","smoky",3,1,3
"40","1267-NE 2023-05-24","1267-NE","2023-05-24","05:51:00","non-smoky",1,1,1
"41","1267-NW 2023-05-15","1267-NW","2023-05-15","06:05:00","non-smoky",12,3,4
"42","1267-NW 2023-05-21","1267-NW","2023-05-21","05:55:00","smoky",15,3,5
"43","1267-SE 2023-05-21","1267-SE","2023-05-21","05:55:00","smoky",5,2,2.5
"44","1267-SE 2023-05-24","1267-SE","2023-05-24","05:51:00","non-smoky",7,2,3.5
"45","1267-SW 2023-05-21","1267-SW","2023-05-21","05:55:00","smoky",10,3,3.33
"46","1267-SW 2023-05-24","1267-SW","2023-05-24","05:51:00","non-smoky",0,0,0
"47","1268-NW 2023-05-15","1268-NW","2023-05-15","06:05:00","non-smoky",4,2,2
"48","1268-NW 2023-05-21","1268-NW","2023-05-21","05:55:00","smoky",0,0,0
"49","1268-SE 2023-05-15","1268-SE","2023-05-15","06:05:00","non-smoky",1,1,1
"50","1268-SE 2023-05-21","1268-SE","2023-05-21","05:55:00","smoky",0,0,0
"51","1268-SW 2023-05-21","1268-SW","2023-05-21","05:55:00","smoky",26,4,6.5
"52","1268-SW 2023-05-24","1268-SW","2023-05-24","05:51:00","non-smoky",19,6,3.17
"53","1294-NW 2023-05-15","1294-NW","2023-05-15","06:05:00","non-smoky",3,1,3
"54","1294-NW 2023-05-21","1294-NW","2023-05-21","05:55:00","smoky",2,1,2
"55","1294-SE 2023-05-21","1294-SE","2023-05-21","05:55:00","smoky",0,0,0
"56","1294-SE 2023-05-24","1294-SE","2023-05-24","05:51:00","non-smoky",1,1,1
"57","1294-SW 2023-05-15","1294-SW","2023-05-15","06:05:00","non-smoky",3,1,3
"58","1294-SW 2023-05-21","1294-SW","2023-05-21","05:55:00","smoky",0,0,0
"59","1295-NE 2023-05-15","1295-NE","2023-05-15","06:05:00","non-smoky",12,2,6
"60","1295-NE 2023-05-21","1295-NE","2023-05-21","05:55:00","smoky",13,4,3.25
"61","1295-NW 2023-05-21","1295-NW","2023-05-21","05:55:00","smoky",28,6,4.67
"62","1295-NW 2023-05-24","1295-NW","2023-05-24","05:51:00","non-smoky",19,4,4.75
"63","1295-SE 2023-05-15","1295-SE","2023-05-15","06:05:00","non-smoky",17,5,3.4
"64","1295-SE 2023-05-21","1295-SE","2023-05-21","05:55:00","smoky",15,4,3.75
"65","1295-SW 2023-05-15","1295-SW","2023-05-15","06:05:00","non-smoky",2,1,2
"66","1295-SW 2023-05-21","1295-SW","2023-05-21","05:55:00","smoky",9,3,3
"67","1296-NE 2023-05-15","1296-NE","2023-05-15","06:05:00","non-smoky",3,1,3
"68","1296-NE 2023-05-21","1296-NE","2023-05-21","05:55:00","smoky",2,2,1
"69","1296-NW 2023-05-21","1296-NW","2023-05-21","05:55:00","smoky",10,3,3.33
"70","1296-NW 2023-05-24","1296-NW","2023-05-24","05:51:00","non-smoky",5,1,5
