"","X","recording_name","date","ARU","total_song_count","num_WTSP","mean_singing_rate","site","quadrant","treatment_name","treatment","julian_date","date_code"
"1",1,"1014-NE 2023-05-21",2023-05-21,"1014-NE",11,4,2.75,"1014","NE","smoky",0,141,1
"2",2,"1014-NE 2023-05-24",2023-05-24,"1014-NE",7,2,3.5,"1014","NE","non-smoky",1,144,2
"3",3,"1014-SE 2023-05-15",2023-05-15,"1014-SE",21,5,4.2,"1014","SE","non-smoky",1,135,0
"4",4,"1014-SE 2023-05-21",2023-05-21,"1014-SE",9,4,2.25,"1014","SE","smoky",0,141,1
"5",5,"1014-SW 2023-05-15",2023-05-15,"1014-SW",4,1,4,"1014","SW","non-smoky",1,135,0
"6",6,"1014-SW 2023-05-21",2023-05-21,"1014-SW",5,1,5,"1014","SW","smoky",0,141,1
"7",7,"1015-SW 2023-05-15",2023-05-15,"1015-SW",0,0,0,"1015","SW","non-smoky",1,135,0
"8",8,"1015-SW 2023-05-21",2023-05-21,"1015-SW",1,1,1,"1015","SW","smoky",0,141,1
"9",9,"1048-NE 2023-05-15",2023-05-15,"1048-NE",4,1,4,"1048","NE","non-smoky",1,135,0
"10",10,"1048-NE 2023-05-21",2023-05-21,"1048-NE",6,2,3,"1048","NE","smoky",0,141,1
"11",11,"1048-NW 2023-05-21",2023-05-21,"1048-NW",7,2,3.5,"1048","NW","smoky",0,141,1
"12",12,"1048-NW 2023-05-24",2023-05-24,"1048-NW",3,1,3,"1048","NW","non-smoky",1,144,2
"13",13,"1048-SE 2023-05-21",2023-05-21,"1048-SE",1,1,1,"1048","SE","smoky",0,141,1
"14",14,"1048-SE 2023-05-24",2023-05-24,"1048-SE",2,1,2,"1048","SE","non-smoky",1,144,2
"15",15,"1049-NE 2023-05-15",2023-05-15,"1049-NE",3,1,3,"1049","NE","non-smoky",1,135,0
"16",16,"1049-NE 2023-05-21",2023-05-21,"1049-NE",0,0,0,"1049","NE","smoky",0,141,1
"17",17,"1049-SE 2023-05-21",2023-05-21,"1049-SE",0,0,0,"1049","SE","smoky",0,141,1
"18",18,"1049-SE 2023-05-24",2023-05-24,"1049-SE",3,1,3,"1049","SE","non-smoky",1,144,2
"19",19,"1049-SW 2023-05-15",2023-05-15,"1049-SW",0,0,0,"1049","SW","non-smoky",1,135,0
"20",20,"1049-SW 2023-05-21",2023-05-21,"1049-SW",2,1,2,"1049","SW","smoky",0,141,1
"21",21,"1237-NW 2023-05-15",2023-05-15,"1237-NW",10,2,5,"1237","NW","non-smoky",1,135,0
"22",22,"1237-NW 2023-05-21",2023-05-21,"1237-NW",11,3,3.67,"1237","NW","smoky",0,141,1
"23",23,"1237-SE 2023-05-21",2023-05-21,"1237-SE",0,0,0,"1237","SE","smoky",0,141,1
"24",24,"1237-SE 2023-05-24",2023-05-24,"1237-SE",5,1,5,"1237","SE","non-smoky",1,144,2
"25",25,"1237-SW 2023-05-21",2023-05-21,"1237-SW",6,1,6,"1237","SW","smoky",0,141,1
"26",26,"1237-SW 2023-05-24",2023-05-24,"1237-SW",14,3,4.67,"1237","SW","non-smoky",1,144,2
"27",27,"1239-NE 2023-05-21",2023-05-21,"1239-NE",0,0,0,"1239","NE","smoky",0,141,1
"28",28,"1239-NE 2023-05-24",2023-05-24,"1239-NE",4,3,1.33,"1239","NE","non-smoky",1,144,2
"29",29,"1239-NW 2023-05-15",2023-05-15,"1239-NW",7,2,3.5,"1239","NW","non-smoky",1,135,0
"30",30,"1239-NW 2023-05-21",2023-05-21,"1239-NW",11,2,5.5,"1239","NW","smoky",0,141,1
"31",31,"1239-SE 2023-05-21",2023-05-21,"1239-SE",0,0,0,"1239","SE","smoky",0,141,1
"32",32,"1239-SE 2023-05-24",2023-05-24,"1239-SE",1,1,1,"1239","SE","non-smoky",1,144,2
