"","Location","mean_SR_smoky","mean_SR_non_smoky"
"1","1014-NE",2.75,3.5
"2","1014-SE",2.25,4.2
"3","1014-SW",5,4
"4","1015-SW",1,0
"5","1048-NE",3,4
"6","1048-NW",3.5,3
"7","1048-SE",1,2
"8","1049-NE",0,3
"9","1049-SE",0,3
"10","1049-SW",2,0
"11","1237-NW",3.67,5
"12","1237-SE",0,5
"13","1237-SW",6,4.67
"14","1239-NE",0,1.33
"15","1239-NW",5.5,3.5
"16","1239-SE",0,1
"17","1239-SW",2,2
"18","1266-NE",5.83,5
"19","1266-NW",2.5,4.5
"20","1267-NE",3,1
"21","1267-NW",5,4
"22","1267-SE",2.5,3.5
"23","1267-SW",3.33,0
"24","1268-NW",0,2
"25","1268-SE",0,1
"26","1268-SW",6.5,3.17
"28","1294-NW",2,3
"29","1294-SE",0,1
"30","1294-SW",0,3
"31","1295-NE",3.25,6
"32","1295-NW",4.67,4.75
"33","1295-SE",3.75,3.4
"34","1295-SW",3,2
"35","1296-NE",1,3
"36","1296-NW",3.33,5
"38","1324-NE",2,3
"39","1324-NW",3,2
"40","1324-SE",3.67,5
"41","1324-SW",4,6
"50","FHP-G-308H22",1,6
"51","FHP-G-309F22",0,3
"52","FHP-G-309L22",1,1
"56","FHP-S-3110O22",0,3
"57","FHP-S-318H22",1,4
