"","Location","mean_SR_smoky","num_WTSP_smoky","mean_SR_non_smoky","num_WTSP_non_smoky"
"1","1014-NE",2.75,4,3.5,2
"2","1014-SE",2.25,4,4.2,5
"3","1014-SW",5,1,4,1
"4","1015-SW",1,1,0,0
"5","1048-NE",3,2,4,1
"6","1048-NW",3.5,2,3,1
"7","1048-SE",1,1,2,1
"8","1049-NE",0,0,3,1
"9","1049-SE",0,0,3,1
"10","1049-SW",2,1,0,0
"11","1237-NW",3.67,3,5,2
"12","1237-SE",0,0,5,1
"13","1237-SW",6,1,4.67,3
"14","1239-NE",0,0,1.33,3
"15","1239-NW",5.5,2,3.5,2
"16","1239-SE",0,0,1,1
"17","1239-SW",2,1,2,1
"18","1266-NE",5.83,6,5,5
"19","1266-NW",2.5,2,4.5,4
"20","1267-NE",3,1,1,1
"21","1267-NW",5,3,4,3
"22","1267-SE",2.5,2,3.5,2
"23","1267-SW",3.33,3,0,0
"24","1268-NW",0,0,2,2
"25","1268-SE",0,0,1,1
"26","1268-SW",6.5,4,3.17,6
"28","1294-NW",2,1,3,1
"29","1294-SE",0,0,1,1
"30","1294-SW",0,0,3,1
"31","1295-NE",3.25,4,6,2
"32","1295-NW",4.67,6,4.75,4
"33","1295-SE",3.75,4,3.4,5
"34","1295-SW",3,3,2,1
"35","1296-NE",1,2,3,1
"36","1296-NW",3.33,3,5,1
"38","1324-NE",2,1,3,1
"39","1324-NW",3,2,2,3
"40","1324-SE",3.67,3,5,2
"41","1324-SW",4,2,6,1
"50","FHP-G-308H22",1,2,6,1
"51","FHP-G-309F22",0,0,3,1
"52","FHP-G-309L22",1,1,1,1
"56","FHP-S-3110O22",0,0,3,1
"57","FHP-S-318H22",1,1,4,2
